Player,TEAM,POS,G,SACK,SACK_mean,INT,INT_mean,FR,FR_mean,FF,FF_mean,SFTY,SFTY_mean,D_TD,D_TD_mean,ST_TD,ST_TD_mean,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Carolina Panthers,CAR,DST,16.0,33.86,2.11,8.62,0.54,13.19,0.83,12.05,0.75,0.38,0.02,2.52,0.16,0.0,0.0,97.81,6.12,3.21,6.75,5.9,8.81,2.14,0.86,1.33,2.86,0.35,0.22,4.37,97.81,6.12,3.21,6.75,5.9,8.81,1.19,1.81,1.33,2.86,0.35,0.22,4.37,97.81,6.12,3.21,6.75,5.9,8.81,2.9,0.05,1.38,2.86,0.36,0.22,4.38,3,6.52,110.77,23.0
Tennessee Titans,TEN,DST,16.76,24.52,1.48,14.62,0.87,8.1,0.48,10.76,0.64,0.19,0.01,2.19,0.13,1.0,0.06,81.0,4.88,3.95,4.97,5.04,7.62,0.9,3.0,4.0,1.24,0.46,0.08,4.25,81.0,4.88,3.95,4.97,5.04,7.81,1.43,2.29,4.05,1.19,0.46,0.08,4.25,81.0,4.88,3.95,4.97,5.04,7.81,1.24,2.48,4.0,1.24,0.46,0.08,4.25,3,7.97,135.45,11.0
Dallas Cowboys,DAL,DST,16.0,32.9,2.06,9.38,0.58,11.57,0.72,13.05,0.81,0.0,0.0,1.76,0.11,0.76,0.05,82.95,5.19,3.43,6.11,5.15,8.43,1.67,1.14,2.05,2.71,0.42,0.21,4.21,82.95,5.19,3.43,6.11,5.15,7.71,2.43,1.1,2.05,2.71,0.42,0.21,4.21,82.95,5.19,3.43,6.11,5.15,7.67,1.67,1.9,2.05,2.71,0.42,0.21,4.21,3,6.95,118.11,22.0
Los Angeles Chargers,LAC,DST,16.0,28.1,1.76,11.86,0.74,6.24,0.39,5.0,0.31,0.76,0.05,1.62,0.1,0.24,0.01,78.52,4.91,3.98,3.73,5.49,7.33,2.62,2.14,3.67,0.24,0.32,0.02,4.21,78.52,4.91,3.98,3.73,5.49,7.52,2.62,2.14,3.48,0.24,0.31,0.02,4.19,78.52,4.91,3.98,3.73,5.49,7.33,2.05,2.9,3.48,0.24,0.31,0.02,4.19,3,6.28,106.77,26.0
Minnesota Vikings,MIN,DST,16.0,29.05,1.82,15.24,0.95,8.38,0.53,9.86,0.62,0.95,0.06,0.52,0.03,0.0,0.0,79.1,4.94,4.05,4.77,5.13,7.9,1.95,2.62,2.24,1.29,0.29,0.09,4.16,79.1,4.94,4.05,4.77,5.13,7.86,2.76,1.86,2.24,1.29,0.29,0.09,4.16,79.1,4.94,4.05,4.77,5.13,7.71,2.14,2.62,2.29,1.24,0.29,0.09,4.15,3,6.03,102.47,27.0
Atlanta Falcons,ATL,DST,16.0,29.19,1.82,12.14,0.76,8.57,0.53,15.81,0.99,0.0,0.0,1.24,0.07,0.19,0.01,77.33,4.83,3.5,6.89,4.63,8.05,3.38,2.52,0.62,1.43,0.18,0.1,3.6,77.33,4.83,3.5,6.89,4.63,8.0,4.19,1.76,0.62,1.43,0.18,0.1,3.6,77.33,4.83,3.5,6.89,4.63,8.05,2.57,3.33,0.62,1.43,0.18,0.1,3.6,3,5.04,85.7,32.0
Jacksonville Jaguars,JAC,DST,16.0,24.43,1.52,11.57,0.72,5.81,0.36,8.86,0.55,0.1,0.01,1.24,0.07,1.57,0.09,65.95,4.13,2.86,4.61,4.33,8.1,4.1,1.24,0.95,1.62,0.2,0.12,3.29,65.95,4.13,2.86,4.61,4.33,7.86,3.57,2.0,0.9,1.67,0.2,0.13,3.3,65.95,4.13,2.86,4.61,4.33,8.81,3.38,1.24,0.9,1.67,0.2,0.13,3.3,3,6.35,107.88,24.0
Houston Texans,HOU,DST,16.0,33.86,2.11,5.29,0.33,7.14,0.45,10.43,0.65,0.0,0.0,1.33,0.08,0.0,0.0,59.19,3.7,3.21,5.19,3.77,9.1,3.0,1.1,1.43,1.38,0.23,0.1,3.21,59.19,3.7,3.21,5.19,3.77,9.81,3.1,0.48,1.19,1.43,0.21,0.11,3.2,59.19,3.7,3.21,5.19,3.77,9.86,3.05,0.48,1.19,1.43,0.21,0.11,3.2,3,5.08,86.31,31.0
Cincinnati Bengals,CIN,DST,16.0,20.48,1.28,11.05,0.69,5.81,0.37,9.76,0.61,0.19,0.01,0.24,0.01,0.95,0.06,51.1,3.19,3.1,4.11,3.48,8.81,3.86,1.14,2.1,0.1,0.16,0.01,2.85,51.1,3.19,3.1,4.11,3.48,9.52,3.14,1.14,2.1,0.1,0.16,0.01,2.85,51.1,3.19,3.1,4.11,3.48,8.81,3.1,1.71,2.29,0.1,0.18,0.01,2.87,3,5.49,93.29,28.0
Las Vegas Raiders,LV,DST,16.0,22.71,1.42,10.0,0.62,5.1,0.32,7.86,0.49,0.0,0.0,0.43,0.03,0.05,0.0,48.0,3.0,2.6,5.15,3.09,10.1,2.76,0.24,1.95,0.95,0.22,0.07,2.65,48.0,3.0,2.6,5.15,3.09,9.95,2.9,0.24,1.76,1.14,0.22,0.08,2.67,48.0,3.0,2.6,5.15,3.09,10.1,2.05,0.95,1.95,0.95,0.22,0.07,2.65,3,5.3,90.18,30.0
Detroit Lions,DET,DST,16.0,25.67,1.6,7.0,0.44,6.24,0.39,14.33,0.9,0.76,0.05,0.29,0.02,1.14,0.07,46.29,2.9,3.21,3.46,3.25,7.71,4.52,3.0,0.67,0.1,0.06,0.01,2.67,46.29,2.9,3.21,3.46,3.25,7.71,4.57,3.19,0.43,0.1,0.04,0.01,2.65,46.29,2.9,3.21,3.46,3.25,7.67,4.62,3.14,0.48,0.1,0.04,0.01,2.65,3,5.39,91.65,29.0
