Player,TEAM,POS,G,SACK,SACK_mean,INT,INT_mean,FR,FR_mean,FF,FF_mean,SFTY,SFTY_mean,D_TD,D_TD_mean,ST_TD,ST_TD_mean,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Pittsburgh Steelers,PIT,DST,16.76,55.43,3.31,17.9,1.07,10.62,0.64,13.29,0.8,0.86,0.05,3.0,0.18,0.19,0.01,152.62,9.13,8.6,5.95,9.07,3.67,1.29,2.76,3.19,5.86,1.2,0.54,8.82,152.62,9.13,8.6,5.95,9.07,3.76,1.19,2.81,3.33,5.67,1.19,0.52,8.79,152.62,9.13,8.6,5.95,9.07,3.71,1.24,2.81,3.33,5.67,1.19,0.52,8.79,3,9.79,166.42,2.0
Los Angeles Rams,LAR,DST,16.0,51.86,3.24,14.0,0.88,8.76,0.55,12.19,0.76,1.05,0.06,4.0,0.25,0.0,0.0,149.95,9.37,8.95,6.41,9.15,2.24,2.62,3.76,1.81,5.57,0.88,0.54,8.77,149.95,9.37,8.95,6.41,9.15,2.24,2.62,3.76,1.86,5.52,0.88,0.54,8.76,149.95,9.37,8.95,6.41,9.15,2.24,3.38,2.81,2.0,5.57,0.91,0.54,8.79,3,8.84,150.26,5.0
Indianapolis Colts,IND,DST,16.0,40.1,2.51,15.0,0.94,9.67,0.6,11.52,0.72,2.67,0.17,3.24,0.2,1.9,0.11,140.29,8.77,8.98,6.7,8.47,2.57,2.76,1.76,4.76,4.14,1.4,0.37,8.64,140.29,8.77,8.98,6.7,8.47,2.76,1.81,2.52,5.52,3.38,1.4,0.28,8.55,140.29,8.77,8.98,6.7,8.47,2.38,2.95,1.76,4.81,4.1,1.4,0.36,8.64,3,10.06,171.03,1.0
Baltimore Ravens,BAL,DST,16.0,38.81,2.43,10.67,0.66,11.67,0.73,20.0,1.25,1.52,0.09,3.57,0.23,0.81,0.05,142.57,8.91,7.62,6.63,8.63,3.1,2.24,2.95,3.71,4.0,0.94,0.33,7.87,142.57,8.91,7.62,6.63,8.63,3.1,2.19,3.0,3.71,4.0,0.94,0.33,7.87,142.57,8.91,7.62,6.63,8.63,3.1,2.14,3.05,3.71,4.0,0.94,0.33,7.87,3,9.05,153.85,4.0
Miami Dolphins,MIA,DST,16.0,37.1,2.32,17.19,1.07,8.52,0.53,12.86,0.81,0.19,0.01,1.86,0.11,1.05,0.06,122.0,7.62,7.26,5.63,7.63,5.71,1.67,1.19,3.52,3.9,1.03,0.35,7.34,122.0,7.62,7.26,5.63,7.63,5.57,1.81,1.19,2.81,4.62,1.03,0.46,7.44,122.0,7.62,7.26,5.63,7.63,5.76,0.1,2.71,3.52,3.9,1.03,0.35,7.34,3,8.51,144.65,6.0
New Orleans Saints,NO,DST,16.0,46.33,2.89,16.76,1.04,8.57,0.53,7.38,0.46,0.95,0.06,1.38,0.08,0.19,0.01,128.48,8.03,6.76,6.41,7.87,4.43,2.57,2.81,0.67,5.52,0.63,0.54,7.18,128.48,8.03,6.76,6.41,7.87,5.19,1.76,2.86,0.67,5.52,0.63,0.54,7.18,128.48,8.03,6.76,6.41,7.87,4.43,2.52,2.86,0.71,5.48,0.63,0.53,7.17,3,8.15,138.53,9.0
Buffalo Bills,BUF,DST,16.0,39.05,2.44,14.86,0.93,10.62,0.67,14.38,0.9,0.24,0.01,2.33,0.15,0.95,0.06,121.1,7.57,6.55,5.49,7.72,2.95,3.14,3.57,2.95,3.38,0.67,0.28,6.79,121.1,7.57,6.55,5.49,7.72,3.14,2.19,4.33,2.95,3.38,0.67,0.28,6.79,121.1,7.57,6.55,5.49,7.72,3.14,2.19,4.33,2.95,3.38,0.67,0.28,6.79,3,9.09,154.49,3.0
New England Patriots,NE,DST,16.0,28.67,1.79,19.33,1.2,5.62,0.35,7.05,0.44,0.19,0.01,2.57,0.16,2.0,0.12,132.71,8.29,6.55,8.15,7.57,3.62,3.52,3.57,2.14,3.14,0.61,0.3,6.62,132.71,8.29,6.55,8.15,7.57,3.86,4.05,2.86,2.1,3.14,0.6,0.3,6.61,132.71,8.29,6.55,8.15,7.57,4.57,2.57,3.57,2.14,3.14,0.61,0.3,6.62,3,7.81,132.77,15.0
Tampa Bay Buccaneers,TB,DST,16.0,47.33,2.96,14.14,0.89,11.05,0.69,15.76,0.99,0.76,0.05,2.0,0.12,0.0,0.0,119.43,7.47,6.1,5.8,7.47,3.62,2.95,4.19,2.0,3.24,0.5,0.26,6.34,119.43,7.47,6.1,5.8,7.47,3.62,2.95,4.19,1.24,4.0,0.5,0.34,6.42,119.43,7.47,6.1,5.8,7.47,3.62,2.95,4.19,2.0,3.24,0.5,0.26,6.34,3,7.93,134.73,12.0
Seattle Seahawks,SEA,DST,16.0,42.43,2.66,14.29,0.9,9.81,0.61,13.33,0.83,2.29,0.14,0.67,0.04,0.0,0.0,109.48,6.84,6.48,3.77,7.68,3.86,1.1,5.24,4.29,1.52,0.57,0.11,6.46,109.48,6.84,6.48,3.77,7.68,3.62,3.62,2.76,5.24,0.76,0.6,0.06,6.41,109.48,6.84,6.48,3.77,7.68,3.86,2.62,3.71,4.29,1.52,0.57,0.11,6.46,3,7.43,126.36,18.0
Kansas City Chiefs,KC,DST,16.0,35.43,2.21,15.95,1.0,6.48,0.41,11.67,0.73,0.76,0.05,2.29,0.14,1.76,0.11,116.43,7.28,5.86,7.05,6.95,5.57,1.43,3.38,2.62,3.0,0.56,0.23,6.06,116.43,7.28,5.86,7.05,6.95,5.62,2.14,2.62,2.81,2.81,0.56,0.21,6.04,116.43,7.28,5.86,7.05,6.95,5.57,2.95,1.86,2.81,2.81,0.56,0.21,6.04,3,8.22,139.79,7.0
Philadelphia Eagles,PHI,DST,16.0,47.62,2.97,8.67,0.54,10.43,0.65,12.57,0.79,0.76,0.05,2.86,0.18,0.76,0.05,104.62,6.54,6.26,6.32,6.42,6.95,0.52,2.43,4.33,1.76,0.65,0.12,5.95,104.62,6.54,6.26,6.32,6.42,6.86,0.62,2.19,4.57,1.76,0.68,0.12,5.98,104.62,6.54,6.26,6.32,6.42,6.95,0.52,2.43,4.33,1.76,0.65,0.12,5.95,3,8.21,139.61,8.0
Washington Commanders,WAS,DST,16.0,46.76,2.93,15.38,0.96,7.57,0.47,13.62,0.85,0.76,0.05,2.33,0.15,0.19,0.01,120.38,7.53,4.67,6.44,7.34,5.19,3.95,0.67,2.0,4.19,0.67,0.37,5.97,120.38,7.53,4.67,6.44,7.34,5.24,3.14,1.43,2.71,3.48,0.67,0.29,5.88,120.38,7.53,4.67,6.44,7.34,5.19,3.95,0.67,1.95,4.24,0.67,0.38,5.97,3,7.24,123.09,20.0
Arizona Cardinals,ARI,DST,16.0,46.52,2.91,10.05,0.63,9.95,0.62,13.38,0.84,0.76,0.05,0.1,0.01,0.0,0.0,101.57,6.35,5.74,4.79,6.67,5.86,1.33,3.71,3.24,1.86,0.49,0.13,5.71,101.57,6.35,5.74,4.79,6.67,5.9,1.29,3.71,3.24,1.86,0.49,0.13,5.71,101.57,6.35,5.74,4.79,6.67,5.9,1.29,3.71,3.24,1.86,0.49,0.13,5.71,3,7.78,132.26,16.0
San Francisco 49ers,SF,DST,16.0,33.76,2.11,11.52,0.72,9.19,0.57,12.81,0.8,0.05,0.0,1.76,0.11,0.05,0.0,102.1,6.38,5.55,6.43,6.19,6.81,0.76,3.0,2.71,2.71,0.54,0.22,5.59,102.1,6.38,5.55,6.43,6.19,5.86,1.71,2.95,2.0,3.48,0.54,0.29,5.68,102.1,6.38,5.55,6.43,6.19,5.86,2.52,2.19,2.71,2.71,0.54,0.22,5.59,3,7.82,133.02,14.0
Green Bay Packers,GB,DST,16.0,41.1,2.57,11.95,0.75,7.05,0.44,10.9,0.68,0.76,0.05,1.57,0.09,0.0,0.0,96.95,6.06,6.17,4.31,6.54,3.86,3.29,5.24,1.76,1.86,0.31,0.13,5.64,96.95,6.06,6.17,4.31,6.54,4.05,2.33,5.81,1.95,1.86,0.34,0.13,5.67,96.95,6.06,6.17,4.31,6.54,4.57,2.62,5.19,1.43,2.19,0.31,0.16,5.68,3,7.9,134.25,13.0
New York Giants,NYG,DST,16.0,38.76,2.42,11.05,0.69,9.76,0.61,11.86,0.74,0.19,0.01,2.05,0.12,0.0,0.0,98.86,6.18,4.83,5.2,6.39,5.81,3.33,0.81,3.48,2.57,0.65,0.2,5.45,98.86,6.18,4.83,5.2,6.39,5.76,2.62,1.57,3.29,2.76,0.65,0.21,5.47,98.86,6.18,4.83,5.2,6.39,5.05,3.33,1.57,3.48,2.57,0.65,0.2,5.45,3,7.4,125.75,19.0
Chicago Bears,CHI,DST,16.0,35.14,2.2,10.81,0.67,8.24,0.51,13.0,0.81,1.0,0.06,1.24,0.08,0.95,0.06,98.57,6.16,4.88,5.57,6.23,5.9,2.48,3.0,2.38,2.24,0.43,0.17,5.17,98.57,6.16,4.88,5.57,6.23,5.9,3.24,2.24,2.38,2.24,0.43,0.17,5.17,98.57,6.16,4.88,5.57,6.23,5.9,3.24,2.24,2.38,2.24,0.43,0.17,5.17,3,7.12,121.03,21.0
Cleveland Browns,CLE,DST,16.0,37.95,2.38,11.86,0.74,9.43,0.59,15.24,0.95,1.57,0.09,1.71,0.1,0.0,0.0,96.0,6.0,4.93,5.35,6.14,6.33,2.81,2.86,1.43,2.57,0.33,0.2,5.1,96.0,6.0,4.93,5.35,6.14,6.38,1.24,4.38,1.43,2.57,0.33,0.2,5.1,96.0,6.0,4.93,5.35,6.14,6.33,2.81,2.67,1.62,2.57,0.35,0.2,5.12,3,7.57,128.65,17.0
New York Jets,NYJ,DST,16.0,32.14,2.01,10.52,0.65,8.9,0.55,15.05,0.94,1.14,0.07,1.86,0.11,0.29,0.02,80.86,5.06,5.14,4.63,5.31,6.05,2.9,1.86,4.14,1.05,0.48,0.09,4.86,80.86,5.06,5.14,4.63,5.31,5.81,1.62,3.33,4.19,1.05,0.49,0.09,4.87,80.86,5.06,5.14,4.63,5.31,6.05,2.14,2.62,4.1,1.1,0.48,0.1,4.86,3,7.97,135.46,10.0
Denver Broncos,DEN,DST,16.0,41.71,2.6,10.33,0.64,6.19,0.39,10.52,0.66,0.0,0.0,0.29,0.02,0.76,0.05,83.9,5.24,4.31,5.11,5.41,7.48,2.43,2.24,1.86,2.0,0.32,0.14,4.48,83.9,5.24,4.31,5.11,5.41,6.71,3.95,1.48,1.86,2.0,0.32,0.14,4.48,83.9,5.24,4.31,5.11,5.41,6.71,3.19,2.24,1.86,2.0,0.32,0.14,4.48,3,6.31,107.23,25.0
