Player,TEAM,POS,G,SACK,SACK_mean,INT,INT_mean,FR,FR_mean,FF,FF_mean,SFTY,SFTY_mean,D_TD,D_TD_mean,ST_TD,ST_TD_mean,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Chicago Bears,CHI,DST,16,50,3.12,27,1.69,9,0.56,17,1.06,1,0.06,6,0.38,0,0.0,190.0,11.88,12.5,6.34,11.63,0,4,3,2,7,1.29,0.78,11.67,190.0,11.88,12.5,6.34,11.63,0,4,3,2,7,1.29,0.78,11.67,190.0,11.88,12.5,6.34,11.63,0,4,3,2,7,1.29,0.78,11.67
Houston Texans,HOU,DST,16,43,2.69,15,0.94,14,0.88,19,1.19,0,0.0,4,0.25,0,0.0,147.0,9.19,7.5,5.49,9.33,3,3,3,2,5,0.78,0.45,8.1,147.0,9.19,7.5,5.49,9.33,2,5,2,1,6,0.78,0.6,8.24,147.0,9.19,7.5,5.49,9.33,3,4,2,1,6,0.78,0.6,8.24
Los Angeles Rams,LAR,DST,16,41,2.56,18,1.12,12,0.75,12,0.75,2,0.12,4,0.25,0,0.0,149.0,9.31,8.0,7.12,8.86,3,3,3,2,5,0.78,0.45,8.11,149.0,9.31,8.0,7.12,8.86,3,3,3,3,4,0.78,0.33,7.99,149.0,9.31,8.0,7.12,8.86,3,3,3,2,5,0.78,0.45,8.11
New England Patriots,NE,DST,16,30,1.88,18,1.12,10,0.62,12,0.75,0,0.0,2,0.12,2,0.12,131.0,8.19,7.5,6.25,8.05,4,2,3,5,2,0.78,0.14,7.24,131.0,8.19,7.5,6.25,8.05,5,1,4,4,2,0.6,0.14,7.09,131.0,8.19,7.5,6.25,8.05,4,2,3,5,2,0.78,0.14,7.24
New Orleans Saints,NO,DST,16,49,3.06,12,0.75,12,0.75,19,1.19,0,0.0,1,0.06,0,0.0,110.0,6.88,8.0,6.31,6.74,5,2,3,2,4,0.6,0.33,6.99,110.0,6.88,8.0,6.31,6.74,5,1,4,2,4,0.6,0.33,6.99,110.0,6.88,8.0,6.31,6.74,5,1,4,3,3,0.6,0.23,6.87
Minnesota Vikings,MIN,DST,16,50,3.12,12,0.75,8,0.5,7,0.44,0,0.0,3,0.19,0,0.0,125.0,7.81,7.0,6.76,7.53,6,1,3,3,3,0.6,0.23,6.79,125.0,7.81,7.0,6.76,7.53,5,2,3,3,3,0.6,0.23,6.79,125.0,7.81,7.0,6.76,7.53,6,1,3,4,2,0.6,0.14,6.68
Kansas City Chiefs,KC,DST,16,52,3.25,15,0.94,12,0.75,21,1.31,0,0.0,4,0.25,1,0.06,125.0,7.81,7.0,7.43,7.35,5,2,3,3,3,0.6,0.23,6.72,125.0,7.81,7.0,7.43,7.35,6,1,3,3,3,0.6,0.23,6.72,125.0,7.81,7.0,7.43,7.35,5,2,3,3,3,0.6,0.23,6.72
Indianapolis Colts,IND,DST,16,38,2.38,15,0.94,11,0.69,14,0.88,0,0.0,0,0.0,0,0.0,118.0,7.38,6.5,5.67,7.43,6,2,1,4,3,0.78,0.23,6.7,118.0,7.38,6.5,5.67,7.43,6,2,1,4,3,0.78,0.23,6.7,118.0,7.38,6.5,5.67,7.43,6,2,1,5,2,0.78,0.14,6.59
Washington Commanders,WAS,DST,16,46,2.88,15,0.94,11,0.69,18,1.12,0,0.0,1,0.06,0,0.0,120.0,7.5,6.0,5.79,7.52,5,3,2,2,4,0.6,0.33,6.5,120.0,7.5,6.0,5.79,7.52,6,2,2,1,5,0.6,0.45,6.62,120.0,7.5,6.0,5.79,7.52,5,3,2,1,5,0.6,0.45,6.62
Seattle Seahawks,SEA,DST,16,43,2.69,12,0.75,14,0.88,16,1.0,0,0.0,2,0.12,0,0.0,123.0,7.69,6.0,5.68,7.74,5,3,2,2,4,0.6,0.33,6.59,123.0,7.69,6.0,5.68,7.74,4,4,2,2,4,0.6,0.33,6.59,123.0,7.69,6.0,5.68,7.74,5,3,2,2,4,0.6,0.33,6.59
