Player,TEAM,POS,G,SACK,SACK_mean,INT,INT_mean,FR,FR_mean,FF,FF_mean,SFTY,SFTY_mean,D_TD,D_TD_mean,ST_TD,ST_TD_mean,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
New England Patriots,NE,DST,16.0,43.52,2.72,23.05,1.44,10.52,0.66,13.38,0.84,0.86,0.05,4.19,0.26,1.95,0.12,207.24,12.95,11.24,9.28,11.48,2.52,2.1,2.1,2.76,6.52,1.46,0.79,11.16,207.24,12.95,11.24,9.28,11.48,3.48,1.1,2.38,2.48,6.57,1.42,0.8,11.13,207.24,12.95,11.24,9.28,11.48,3.29,1.33,2.14,2.71,6.52,1.45,0.79,11.15,3,9.55,162.29,1.0
Pittsburgh Steelers,PIT,DST,16.0,53.71,3.36,17.52,1.1,15.33,0.96,17.1,1.07,0.43,0.03,2.86,0.18,0.81,0.05,165.67,10.35,10.33,6.47,10.06,2.67,2.29,2.05,3.67,5.33,1.41,0.52,9.98,165.67,10.35,10.33,6.47,10.06,3.05,1.9,2.14,4.33,4.57,1.4,0.4,9.87,165.67,10.35,10.33,6.47,10.06,2.86,2.1,2.14,4.33,4.57,1.4,0.4,9.87,3,9.16,155.76,2.0
Los Angeles Rams,LAR,DST,16.0,48.19,3.01,14.19,0.88,11.14,0.7,13.0,0.81,1.24,0.07,3.95,0.25,0.14,0.01,147.29,9.2,8.74,6.88,8.83,3.1,1.43,6.0,1.19,4.29,0.53,0.37,8.09,147.29,9.2,8.74,6.88,8.83,3.1,1.43,6.0,1.38,4.1,0.53,0.34,8.06,147.29,9.2,8.74,6.88,8.83,3.1,1.43,5.24,1.95,4.29,0.64,0.37,8.19,3,8.76,148.94,3.0
Baltimore Ravens,BAL,DST,16.0,38.33,2.39,13.24,0.83,10.67,0.67,13.67,0.86,0.0,0.0,5.43,0.34,0.29,0.02,148.86,9.3,8.02,7.12,8.86,3.52,2.9,2.71,2.76,4.1,0.76,0.34,7.99,148.86,9.3,8.02,7.12,8.86,3.52,2.71,2.9,2.76,4.1,0.76,0.34,7.99,148.86,9.3,8.02,7.12,8.86,3.52,2.52,3.14,2.71,4.1,0.75,0.34,7.98,3,8.11,137.84,8.0
Kansas City Chiefs,KC,DST,16.0,45.67,2.85,15.81,0.99,8.1,0.51,13.67,0.85,0.0,0.0,3.19,0.2,1.0,0.06,142.19,8.89,8.52,6.79,8.57,4.33,2.71,1.43,4.52,3.0,0.9,0.23,8.06,142.19,8.89,8.52,6.79,8.57,4.52,2.52,1.38,5.33,2.24,0.91,0.16,7.98,142.19,8.89,8.52,6.79,8.57,4.33,2.71,1.43,5.29,2.24,0.9,0.16,7.97,3,8.08,137.28,9.0
Buffalo Bills,BUF,DST,16.0,41.67,2.6,14.57,0.91,9.29,0.58,15.48,0.97,0.95,0.06,0.33,0.02,0.76,0.05,129.71,8.11,8.26,4.5,8.7,2.86,3.52,2.38,5.81,1.43,0.86,0.1,7.8,129.71,8.11,8.26,4.5,8.7,3.62,2.76,2.33,5.86,1.43,0.87,0.1,7.81,129.71,8.11,8.26,4.5,8.7,3.62,2.76,2.38,5.81,1.43,0.86,0.1,7.8,3,8.28,140.71,6.0
New Orleans Saints,NO,DST,16.0,50.19,3.14,13.14,0.82,10.14,0.63,11.95,0.74,0.76,0.05,2.62,0.17,0.86,0.05,136.71,8.55,7.62,5.53,8.7,2.71,4.24,2.33,2.67,4.05,0.73,0.34,7.73,136.71,8.55,7.62,5.53,8.7,2.71,4.05,2.52,2.71,4.0,0.73,0.33,7.73,136.71,8.55,7.62,5.53,8.7,2.71,4.05,2.52,2.86,3.86,0.73,0.32,7.71,3,8.12,138.06,7.0
San Francisco 49ers,SF,DST,16.0,45.05,2.82,10.0,0.62,12.86,0.8,18.33,1.14,0.19,0.01,4.05,0.25,0.19,0.01,137.86,8.62,7.19,7.11,8.11,6.19,0.24,3.0,1.81,4.76,0.8,0.47,7.47,137.86,8.62,7.19,7.11,8.11,5.43,1.0,2.76,2.05,4.76,0.82,0.47,7.49,137.86,8.62,7.19,7.11,8.11,5.43,1.19,2.81,1.81,4.76,0.8,0.47,7.47,3,8.35,141.91,5.0
Minnesota Vikings,MIN,DST,16.0,47.86,2.99,15.9,0.99,12.43,0.78,15.29,0.95,0.81,0.05,2.14,0.13,0.0,0.0,139.1,8.69,7.38,6.25,8.55,4.43,1.76,4.67,2.9,2.24,0.47,0.16,7.16,139.1,8.69,7.38,6.25,8.55,4.24,1.95,4.71,2.86,2.24,0.47,0.16,7.15,139.1,8.69,7.38,6.25,8.55,3.67,2.52,4.67,3.1,2.05,0.47,0.14,7.13,3,7.71,131.09,11.0
Tennessee Titans,TEN,DST,16.0,42.24,2.64,13.33,0.84,8.43,0.53,10.05,0.62,0.76,0.05,2.71,0.17,0.95,0.06,128.14,8.01,7.05,5.93,7.97,3.33,3.62,3.0,4.1,1.95,0.61,0.14,6.88,128.14,8.01,7.05,5.93,7.97,4.1,2.67,3.24,4.24,1.76,0.6,0.12,6.85,128.14,8.01,7.05,5.93,7.97,4.1,1.9,3.95,4.1,1.95,0.61,0.14,6.88,3,8.05,136.8,10.0
