Player,TEAM,POS,G,SACK,SACK_mean,INT,INT_mean,FR,FR_mean,FF,FF_mean,SFTY,SFTY_mean,D_TD,D_TD_mean,ST_TD,ST_TD_mean,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
New England Patriots,NE,DST,16,47,2.94,25,1.56,11,0.69,14,0.88,1,0.06,5,0.31,2,0.12,232.0,14.5,12.5,10.33,12.57,2,2,2,2,8,1.67,1.0,12.44,232.0,14.5,12.5,10.33,12.57,3,1,2,2,8,1.67,1.0,12.44,232.0,14.5,12.5,10.33,12.57,3,1,2,2,8,1.67,1.0,12.44
Pittsburgh Steelers,PIT,DST,16,54,3.38,20,1.25,18,1.12,19,1.19,0,0.0,3,0.19,1,0.06,181.0,11.31,11.5,6.85,10.87,2,2,2,4,6,1.67,0.6,11.04,181.0,11.31,11.5,6.85,10.87,2,2,2,5,5,1.67,0.45,10.9,181.0,11.31,11.5,6.85,10.87,2,2,2,5,5,1.67,0.45,10.9
San Francisco 49ers,SF,DST,16,48,3.0,12,0.75,15,0.94,21,1.31,0,0.0,5,0.31,0,0.0,163.0,10.19,8.5,7.81,9.47,5,0,3,2,6,1.0,0.6,8.87,163.0,10.19,8.5,7.81,9.47,4,1,3,2,6,1.0,0.6,8.87,163.0,10.19,8.5,7.81,9.47,4,1,3,2,6,1.0,0.6,8.87
Buffalo Bills,BUF,DST,16,44,2.75,14,0.88,9,0.56,15,0.94,1,0.06,0,0.0,1,0.06,137.0,8.56,9.0,4.15,9.32,2,4,2,7,1,1.0,0.07,8.42,137.0,8.56,9.0,4.15,9.32,3,3,2,7,1,1.0,0.07,8.42,137.0,8.56,9.0,4.15,9.32,3,3,2,7,1,1.0,0.07,8.42
Kansas City Chiefs,KC,DST,16,45,2.81,16,1.0,7,0.44,12,0.75,0,0.0,3,0.19,1,0.06,148.0,9.25,9.0,6.64,8.96,4,3,1,5,3,1.0,0.23,8.48,148.0,9.25,9.0,6.64,8.96,4,3,1,6,2,1.0,0.14,8.37,148.0,9.25,9.0,6.64,8.96,4,3,1,6,2,1.0,0.14,8.37
Baltimore Ravens,BAL,DST,16,37,2.31,13,0.81,12,0.75,15,0.94,0,0.0,6,0.38,0,0.0,153.0,9.56,8.5,6.84,9.19,3,3,3,3,4,0.78,0.33,8.32,153.0,9.56,8.5,6.84,9.19,3,3,3,3,4,0.78,0.33,8.32,153.0,9.56,8.5,6.84,9.19,3,3,3,3,4,0.78,0.33,8.32
Los Angeles Rams,LAR,DST,16,50,3.12,13,0.81,11,0.69,13,0.81,1,0.06,4,0.25,0,0.0,146.0,9.12,9.0,6.76,8.79,3,1,7,1,4,0.45,0.33,8.07,146.0,9.12,9.0,6.76,8.79,3,1,7,1,4,0.45,0.33,8.07,146.0,9.12,9.0,6.76,8.79,3,1,6,2,4,0.6,0.33,8.21
New Orleans Saints,NO,DST,16,51,3.19,13,0.81,10,0.62,10,0.62,1,0.06,3,0.19,1,0.06,143.0,8.94,7.5,5.16,9.22,2,5,2,3,4,0.78,0.33,7.93,143.0,8.94,7.5,5.16,9.22,2,5,2,3,4,0.78,0.33,7.93,143.0,8.94,7.5,5.16,9.22,2,5,2,3,4,0.78,0.33,7.93
Tampa Bay Buccaneers,TB,DST,16,47,2.94,12,0.75,16,1.0,20,1.25,0,0.0,6,0.38,0,0.0,134.0,8.38,7.0,6.93,8.02,5,3,1,2,5,0.78,0.45,7.38,134.0,8.38,7.0,6.93,8.02,5,3,1,2,5,0.78,0.45,7.38,134.0,8.38,7.0,6.93,8.02,5,3,1,2,5,0.78,0.45,7.38
Minnesota Vikings,MIN,DST,16,48,3.0,17,1.06,14,0.88,18,1.12,1,0.06,2,0.12,0,0.0,144.0,9.0,7.5,6.22,8.86,4,2,5,3,2,0.45,0.14,7.28,144.0,9.0,7.5,6.22,8.86,4,2,5,3,2,0.45,0.14,7.28,144.0,9.0,7.5,6.22,8.86,3,3,5,3,2,0.45,0.14,7.28
