Player,TEAM,POS,G,SACK,SACK_mean,INT,INT_mean,FR,FR_mean,FF,FF_mean,SFTY,SFTY_mean,D_TD,D_TD_mean,ST_TD,ST_TD_mean,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Kansas City Chiefs,KC,DST,16.0,32.48,2.03,18.19,1.13,13.1,0.82,12.86,0.8,0.95,0.06,5.05,0.31,2.38,0.15,151.19,9.45,9.64,7.75,8.8,3.81,1.1,1.19,6.95,2.95,1.71,0.26,9.11,151.19,9.45,9.64,7.75,8.8,2.29,2.57,1.29,6.86,3.0,1.7,0.27,9.11,151.19,9.45,9.64,7.75,8.8,3.81,1.1,1.24,6.9,2.95,1.7,0.26,9.1,3,10.02,170.36,1.0
Denver Broncos,DEN,DST,16.0,43.86,2.74,14.19,0.89,12.71,0.79,15.76,0.99,0.24,0.01,4.14,0.26,0.19,0.01,153.48,9.59,7.6,6.81,9.22,3.86,3.95,0.38,2.0,5.81,0.97,0.58,8.35,153.48,9.59,7.6,6.81,9.22,3.1,2.33,2.95,1.81,5.81,0.93,0.58,8.32,153.48,9.59,7.6,6.81,9.22,3.86,3.19,1.33,1.76,5.86,0.93,0.58,8.33,3,8.71,148.04,6.0
Carolina Panthers,CAR,DST,16.0,46.1,2.88,18.19,1.14,11.05,0.69,17.71,1.11,0.76,0.05,3.33,0.21,0.05,0.0,131.67,8.23,7.71,6.21,8.1,4.86,2.0,2.24,3.57,3.33,0.76,0.27,7.48,131.67,8.23,7.71,6.21,8.1,4.86,2.0,2.05,3.0,4.1,0.81,0.34,7.6,131.67,8.23,7.71,6.21,8.1,4.86,1.24,3.0,2.81,4.1,0.76,0.34,7.57,3,8.06,137.0,9.0
Minnesota Vikings,MIN,DST,16.0,41.38,2.58,13.76,0.86,11.9,0.74,12.19,0.76,0.76,0.05,3.81,0.24,2.95,0.19,135.14,8.45,7.74,7.11,8.04,5.9,1.24,2.33,1.95,4.57,0.7,0.4,7.56,135.14,8.45,7.74,7.11,8.04,5.9,0.52,3.05,1.95,4.57,0.7,0.4,7.56,135.14,8.45,7.74,7.11,8.04,5.9,1.24,2.33,1.9,4.62,0.7,0.41,7.57,3,9.63,163.65,3.0
Seattle Seahawks,SEA,DST,16.0,40.81,2.55,11.67,0.73,8.1,0.51,14.43,0.91,0.81,0.05,1.43,0.09,0.43,0.03,123.43,7.71,7.95,4.04,8.46,2.67,1.43,5.24,5.14,1.52,0.75,0.11,7.5,123.43,7.71,7.95,4.04,8.46,2.86,0.48,6.19,4.95,1.52,0.7,0.11,7.47,123.43,7.71,7.95,4.04,8.46,2.86,1.19,5.29,5.19,1.48,0.75,0.11,7.5,3,9.72,165.29,2.0
Arizona Cardinals,ARI,DST,16.0,45.1,2.82,15.14,0.95,13.67,0.86,16.9,1.06,1.9,0.11,3.62,0.23,0.24,0.01,148.48,9.28,7.36,7.33,8.77,2.33,3.86,4.33,1.52,3.95,0.53,0.33,7.47,148.48,9.28,7.36,7.33,8.77,2.33,3.9,4.29,1.57,3.9,0.53,0.32,7.46,148.48,9.28,7.36,7.33,8.77,2.33,3.9,4.1,1.76,3.9,0.57,0.32,7.5,3,7.73,131.37,10.0
Philadelphia Eagles,PHI,DST,16.0,35.29,2.2,15.62,0.98,10.48,0.65,13.43,0.84,0.95,0.06,3.24,0.2,2.38,0.15,127.76,7.99,7.43,5.58,8.09,5.0,1.29,3.1,2.76,3.86,0.72,0.32,7.38,127.76,7.99,7.43,5.58,8.09,4.24,2.0,2.95,2.95,3.86,0.75,0.32,7.41,127.76,7.99,7.43,5.58,8.09,4.24,2.81,2.33,2.76,3.86,0.72,0.32,7.38,3,9.38,159.42,4.0
New England Patriots,NE,DST,16.0,37.14,2.32,12.95,0.81,9.76,0.61,14.38,0.9,2.48,0.16,0.48,0.03,0.14,0.01,127.9,8.0,6.48,5.43,8.14,4.95,2.33,2.9,1.67,4.14,0.57,0.35,6.93,127.9,8.0,6.48,5.43,8.14,5.0,3.05,1.95,2.0,4.0,0.6,0.33,6.94,127.9,8.0,6.48,5.43,8.14,4.95,3.1,2.14,1.86,3.95,0.57,0.33,6.91,3,7.31,124.29,15.0
Tampa Bay Buccaneers,TB,DST,16.0,37.9,2.37,15.71,0.98,11.95,0.75,16.29,1.02,0.76,0.05,3.76,0.24,0.0,0.0,126.14,7.88,6.36,6.62,7.63,6.48,2.0,0.38,3.67,3.48,0.85,0.28,6.83,126.14,7.88,6.36,6.62,7.63,5.52,2.95,0.38,3.67,3.48,0.85,0.28,6.83,126.14,7.88,6.36,6.62,7.63,6.48,1.95,0.43,4.43,2.71,0.85,0.21,6.74,3,7.21,122.55,17.0
New York Giants,NYG,DST,16.0,33.29,2.08,16.62,1.04,8.76,0.55,13.81,0.86,0.19,0.01,3.1,0.2,1.14,0.07,131.62,8.22,6.21,6.88,7.89,6.33,1.19,2.71,0.9,4.86,0.56,0.48,6.83,131.62,8.22,6.21,6.88,7.89,5.52,2.76,2.14,0.71,4.86,0.54,0.48,6.81,131.62,8.22,6.21,6.88,7.89,6.33,1.95,2.14,0.71,4.86,0.54,0.48,6.81,3,7.64,129.96,12.0
