Player,TEAM,POS,G,SACK,SACK_mean,INT,INT_mean,FR,FR_mean,FF,FF_mean,SFTY,SFTY_mean,D_TD,D_TD_mean,ST_TD,ST_TD_mean,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
New England Patriots,NE,DST,17,54,3.18,19,1.12,11,0.65,15,0.88,0,0.0,7,0.41,1,0.06,186.0,10.94,11.0,7.08,10.42,5,1,1,4,6,1.43,0.55,10.48,186.0,10.94,11.0,7.08,10.42,5,1,1,3,7,1.43,0.7,10.61,186.0,10.94,11.0,7.08,10.42,5,1,1,4,6,1.43,0.55,10.48
San Francisco 49ers,SF,DST,17,44,2.59,20,1.18,10,0.59,13,0.76,0,0.0,3,0.18,0,0.0,163.0,9.59,9.0,6.11,9.48,4,2,2,3,6,1.12,0.55,9.11,163.0,9.59,9.0,6.11,9.48,4,2,2,3,6,1.12,0.55,9.11,163.0,9.59,9.0,6.11,9.48,5,1,2,3,6,1.12,0.55,9.11
Philadelphia Eagles,PHI,DST,17,70,4.12,17,1.0,10,0.59,15,0.88,0,0.0,2,0.12,0,0.0,151.0,8.88,9.0,3.6,10.02,2,2,4,5,4,1.12,0.31,9.08,151.0,8.88,9.0,3.6,10.02,2,2,4,6,3,1.12,0.21,8.97,151.0,8.88,9.0,3.6,10.02,2,2,4,6,3,1.12,0.21,8.97
Dallas Cowboys,DAL,DST,17,54,3.18,16,0.94,17,1.0,21,1.24,0,0.0,3,0.18,0,0.0,170.0,10.0,7.0,6.41,9.77,3,4,2,4,4,0.89,0.31,8.01,170.0,10.0,7.0,6.41,9.77,3,4,2,4,4,0.89,0.31,8.01,170.0,10.0,7.0,6.41,9.77,4,3,2,4,4,0.89,0.31,8.01
Buffalo Bills,BUF,DST,17,40,2.35,17,1.0,10,0.59,10,0.59,2,0.12,1,0.06,2,0.12,152.0,8.94,8.0,5.62,9.03,3,4,4,2,4,0.55,0.31,7.83,152.0,8.94,8.0,5.62,9.03,3,4,4,1,5,0.55,0.42,7.94,152.0,8.94,8.0,5.62,9.03,3,4,4,2,4,0.55,0.31,7.83
Kansas City Chiefs,KC,DST,17,55,3.24,11,0.65,9,0.53,11,0.65,1,0.06,2,0.12,0,0.0,121.0,7.12,8.0,4.47,7.61,7,1,3,3,3,0.55,0.21,7.15,121.0,7.12,8.0,4.47,7.61,7,1,3,3,3,0.55,0.21,7.15,121.0,7.12,8.0,4.47,7.61,7,1,3,3,3,0.55,0.21,7.15
Jacksonville Jaguars,JAC,DST,17,35,2.06,14,0.82,13,0.76,16,0.94,0,0.0,4,0.24,0,0.0,139.0,8.18,6.0,6.34,8.01,4,5,0,4,4,0.89,0.31,6.91,139.0,8.18,6.0,6.34,8.01,4,5,0,2,6,0.89,0.55,7.15,139.0,8.18,6.0,6.34,8.01,3,6,0,4,4,0.89,0.31,6.91
Baltimore Ravens,BAL,DST,17,48,2.82,14,0.82,11,0.65,14,0.82,0,0.0,0,0.0,1,0.06,134.0,7.88,7.0,3.62,8.88,3,5,3,5,1,0.55,0.06,7.07,134.0,7.88,7.0,3.62,8.88,3,5,3,5,1,0.55,0.06,7.07,134.0,7.88,7.0,3.62,8.88,2,6,3,4,2,0.55,0.13,7.16
Carolina Panthers,CAR,DST,17,35,2.06,10,0.59,7,0.41,7,0.41,0,0.0,3,0.18,0,0.0,118.0,6.94,7.0,4.76,7.3,5,3,2,5,2,0.7,0.13,6.67,118.0,6.94,7.0,4.76,7.3,5,3,2,5,2,0.7,0.13,6.67,118.0,6.94,7.0,4.76,7.3,5,3,2,5,2,0.7,0.13,6.67
New York Jets,NYJ,DST,17,45,2.65,12,0.71,4,0.24,9,0.53,2,0.12,0,0.0,1,0.06,118.0,6.94,7.0,4.64,7.35,7,1,4,3,2,0.42,0.13,6.42,118.0,6.94,7.0,4.64,7.35,7,1,4,4,1,0.42,0.06,6.33,118.0,6.94,7.0,4.64,7.35,8,0,5,3,1,0.31,0.06,6.21
