Player,TEAM,POS,G,SACK,SACK_mean,INT,INT_mean,FR,FR_mean,FF,FF_mean,SFTY,SFTY_mean,D_TD,D_TD_mean,ST_TD,ST_TD_mean,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Dallas Cowboys,DAL,DST,17,52,3.06,13,0.76,9,0.53,16,0.94,0,0.0,1,0.06,3,0.18,111.0,6.53,4.0,7.34,6.16,6,4,2,1,4,0.42,0.31,4.96,111.0,6.53,4.0,7.34,6.16,9,1,3,0,4,0.31,0.31,4.84,111.0,6.53,4.0,7.34,6.16,6,4,3,0,4,0.31,0.31,4.84
New Orleans Saints,NO,DST,17,39,2.29,14,0.82,3,0.18,12,0.71,1,0.06,0,0.0,1,0.06,98.0,5.76,4.0,3.96,6.35,8,2,2,4,1,0.42,0.06,4.73,98.0,5.76,4.0,3.96,6.35,6,4,2,4,1,0.42,0.06,4.73,98.0,5.76,4.0,3.96,6.35,7,3,2,4,1,0.42,0.06,4.73
Indianapolis Colts,IND,DST,17,36,2.12,16,0.94,9,0.53,17,1.0,0,0.0,1,0.06,0,0.0,91.0,5.35,5.0,4.47,5.72,7,3,4,2,1,0.21,0.06,4.66,91.0,5.35,5.0,4.47,5.72,6,3,5,2,1,0.21,0.06,4.66,91.0,5.35,5.0,4.47,5.72,6,3,5,2,1,0.21,0.06,4.66
Cleveland Browns,CLE,DST,17,41,2.41,4,0.24,8,0.47,11,0.65,1,0.06,1,0.06,1,0.06,81.0,4.76,5.0,3.49,5.42,8,1,5,3,0,0.21,0.0,4.45,81.0,4.76,5.0,3.49,5.42,8,3,3,3,0,0.21,0.0,4.45,81.0,4.76,5.0,3.49,5.42,8,1,5,3,0,0.21,0.0,4.45
New York Jets,NYJ,DST,17,43,2.53,7,0.41,10,0.59,14,0.82,0,0.0,0,0.0,1,0.06,95.0,5.59,3.0,6.5,5.44,9,0,2,2,4,0.55,0.31,4.39,95.0,5.59,3.0,6.5,5.44,9,0,2,2,4,0.55,0.31,4.39,95.0,5.59,3.0,6.5,5.44,9,0,2,2,4,0.55,0.31,4.39
New York Giants,NYG,DST,17,45,2.65,5,0.29,10,0.59,15,0.88,0,0.0,0,0.0,2,0.12,91.0,5.35,4.0,5.06,5.55,7,5,2,0,3,0.21,0.21,4.38,91.0,5.35,4.0,5.06,5.55,9,3,2,0,3,0.21,0.21,4.38,91.0,5.35,4.0,5.06,5.55,7,5,2,0,3,0.21,0.21,4.38
San Francisco 49ers,SF,DST,17,37,2.18,11,0.65,6,0.35,11,0.65,0,0.0,1,0.06,1,0.06,84.0,4.94,5.0,6.56,4.8,7,3,4,1,2,0.21,0.13,4.38,84.0,4.94,5.0,6.56,4.8,7,3,4,1,2,0.21,0.13,4.38,84.0,4.94,5.0,6.56,4.8,7,3,4,1,2,0.21,0.13,4.38
Washington Commanders,WAS,DST,17,43,2.53,7,0.41,10,0.59,12,0.71,0,0.0,1,0.06,0,0.0,90.0,5.29,4.0,4.33,5.7,7,2,6,0,2,0.13,0.13,4.24,90.0,5.29,4.0,4.33,5.7,5,4,6,0,2,0.13,0.13,4.24,90.0,5.29,4.0,4.33,5.7,7,2,6,0,2,0.13,0.13,4.24
Atlanta Falcons,ATL,DST,17,31,1.82,12,0.71,6,0.35,12,0.71,1,0.06,4,0.24,0,0.0,97.0,5.71,3.0,8.06,5.26,10,2,1,1,3,0.31,0.21,3.97,97.0,5.71,3.0,8.06,5.26,10,2,1,1,3,0.31,0.21,3.97,97.0,5.71,3.0,8.06,5.26,10,2,1,1,3,0.31,0.21,3.97
Las Vegas Raiders,LV,DST,17,38,2.24,10,0.59,3,0.18,6,0.35,0,0.0,1,0.06,0,0.0,71.0,4.18,4.0,3.89,4.62,9,2,2,3,1,0.31,0.06,3.92,71.0,4.18,4.0,3.89,4.62,9,3,1,3,1,0.31,0.06,3.92,71.0,4.18,4.0,3.89,4.62,9,3,1,3,1,0.31,0.06,3.92
Tennessee Titans,TEN,DST,17,32,1.88,11,0.65,6,0.35,10,0.59,2,0.12,0,0.0,0,0.0,72.0,4.24,3.0,4.04,4.64,10,1,1,5,0,0.42,0.0,3.56,72.0,4.24,3.0,4.04,4.64,10,1,1,5,0,0.42,0.0,3.56,72.0,4.24,3.0,4.04,4.64,10,1,2,4,0,0.31,0.0,3.44
Jacksonville Jaguars,JAC,DST,17,34,2.0,6,0.35,3,0.18,5,0.29,0,0.0,1,0.06,1,0.06,71.0,4.18,3.0,4.25,4.52,9,3,0,5,0,0.42,0.0,3.51,71.0,4.18,3.0,4.25,4.52,10,2,0,5,0,0.42,0.0,3.51,71.0,4.18,3.0,4.25,4.52,10,2,0,5,0,0.42,0.0,3.51
New England Patriots,NE,DST,17,28,1.65,7,0.41,5,0.29,9,0.53,0,0.0,1,0.06,0,0.0,63.0,3.71,3.0,5.19,3.81,10,3,0,3,1,0.31,0.06,3.2,63.0,3.71,3.0,5.19,3.81,11,2,0,3,1,0.31,0.06,3.2,63.0,3.71,3.0,5.19,3.81,10,3,0,3,1,0.31,0.06,3.2
Carolina Panthers,CAR,DST,17,32,1.88,9,0.53,8,0.47,8,0.47,0,0.0,0,0.0,0,0.0,41.0,2.41,2.0,3.66,2.71,10,4,2,1,0,0.06,0.0,1.97,41.0,2.41,2.0,3.66,2.71,9,5,2,1,0,0.06,0.0,1.97,41.0,2.41,2.0,3.66,2.71,11,3,2,1,0,0.06,0.0,1.97
