Player,TEAM,POS,G,SACK,SACK_mean,INT,INT_mean,FR,FR_mean,FF,FF_mean,SFTY,SFTY_mean,D_TD,D_TD_mean,ST_TD,ST_TD_mean,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Baltimore Ravens,BAL,DST,17,60,3.53,18,1.06,13,0.76,16,0.94,1,0.06,1,0.06,1,0.06,174.0,10.24,10.0,4.16,11.14,1,4,3,3,6,1.12,0.55,10.17,174.0,10.24,10.0,4.16,11.14,1,4,3,3,6,1.12,0.55,10.17,174.0,10.24,10.0,4.16,11.14,1,3,4,3,6,1.12,0.55,10.17
Dallas Cowboys,DAL,DST,17,46,2.71,17,1.0,9,0.53,14,0.82,1,0.06,6,0.35,1,0.06,178.0,10.47,8.0,10.85,8.97,7,1,1,1,7,0.89,0.7,8.47,178.0,10.47,8.0,10.85,8.97,7,1,1,1,7,0.89,0.7,8.47,178.0,10.47,8.0,10.85,8.97,7,1,1,1,7,0.89,0.7,8.47
Miami Dolphins,MIA,DST,17,56,3.29,15,0.88,12,0.71,14,0.82,0,0.0,4,0.24,0,0.0,152.0,8.94,9.0,6.73,8.63,3,3,3,6,2,0.89,0.13,8.15,152.0,8.94,9.0,6.73,8.63,3,3,4,5,2,0.7,0.13,8.0,152.0,8.94,9.0,6.73,8.63,3,4,3,5,2,0.7,0.13,8.0
New York Jets,NYJ,DST,17,48,2.82,17,1.0,10,0.59,13,0.76,3,0.18,3,0.18,1,0.06,154.0,9.06,8.0,6.06,8.97,4,2,4,3,4,0.7,0.31,7.94,154.0,9.06,8.0,6.06,8.97,4,2,4,3,4,0.7,0.31,7.94,154.0,9.06,8.0,6.06,8.97,4,2,4,3,4,0.7,0.31,7.94
Cleveland Browns,CLE,DST,17,49,2.88,18,1.06,10,0.59,12,0.71,0,0.0,3,0.18,0,0.0,153.0,9.0,7.0,6.4,8.79,4,2,4,2,5,0.7,0.42,7.58,153.0,9.0,7.0,6.4,8.79,4,2,3,3,5,0.89,0.42,7.74,153.0,9.0,7.0,6.4,8.79,4,3,2,3,5,0.89,0.42,7.74
San Francisco 49ers,SF,DST,17,48,2.82,22,1.29,6,0.35,10,0.59,1,0.06,1,0.06,0,0.0,141.0,8.29,8.0,5.25,8.51,6,1,3,4,3,0.7,0.21,7.65,141.0,8.29,8.0,5.25,8.51,6,1,5,1,4,0.42,0.31,7.49,141.0,8.29,8.0,5.25,8.51,6,1,5,1,4,0.42,0.31,7.49
Las Vegas Raiders,LV,DST,17,46,2.71,13,0.76,9,0.53,13,0.76,1,0.06,5,0.29,0,0.0,146.0,8.59,8.0,7.71,8.01,7,0,4,2,4,0.55,0.31,7.42,146.0,8.59,8.0,7.71,8.01,7,0,4,2,4,0.55,0.31,7.42,146.0,8.59,8.0,7.71,8.01,7,0,3,3,4,0.7,0.31,7.56
New York Giants,NYG,DST,17,34,2.0,18,1.06,13,0.76,15,0.88,0,0.0,3,0.18,1,0.06,131.0,7.71,8.0,7.48,7.24,8,0,1,4,4,0.89,0.31,7.4,131.0,7.71,8.0,7.48,7.24,7,1,1,4,4,0.89,0.31,7.4,131.0,7.71,8.0,7.48,7.24,7,1,1,4,4,0.89,0.31,7.4
New Orleans Saints,NO,DST,17,34,2.0,18,1.06,11,0.65,9,0.53,0,0.0,2,0.12,1,0.06,143.0,8.41,7.0,6.98,8.04,6,2,2,3,4,0.7,0.31,7.17,143.0,8.41,7.0,6.98,8.04,6,2,2,2,5,0.7,0.42,7.28,143.0,8.41,7.0,6.98,8.04,7,1,2,2,5,0.7,0.42,7.28
Kansas City Chiefs,KC,DST,17,57,3.35,8,0.47,9,0.53,14,0.82,0,0.0,2,0.12,0,0.0,134.0,7.88,7.0,3.82,8.76,3,5,2,5,2,0.7,0.13,7.25,134.0,7.88,7.0,3.82,8.76,4,4,2,5,2,0.7,0.13,7.25,134.0,7.88,7.0,3.82,8.76,3,6,1,5,2,0.7,0.13,7.25
Houston Texans,HOU,DST,17,46,2.71,14,0.82,10,0.59,13,0.76,0,0.0,1,0.06,2,0.12,131.0,7.71,8.0,5.39,7.86,6,0,5,3,3,0.55,0.21,7.25,131.0,7.71,8.0,5.39,7.86,5,1,5,4,2,0.55,0.13,7.15,131.0,7.71,8.0,5.39,7.86,5,1,5,4,2,0.55,0.13,7.15
Pittsburgh Steelers,PIT,DST,17,47,2.76,16,0.94,11,0.65,18,1.06,1,0.06,2,0.12,0,0.0,143.0,8.41,7.0,6.52,8.18,6,2,2,4,3,0.7,0.21,7.12,143.0,8.41,7.0,6.52,8.18,7,1,2,4,3,0.7,0.21,7.12,143.0,8.41,7.0,6.52,8.18,6,2,2,5,2,0.7,0.13,7.02
Buffalo Bills,BUF,DST,17,54,3.18,18,1.06,12,0.71,12,0.71,0,0.0,2,0.12,1,0.06,159.0,9.35,7.0,7.79,8.7,3,5,4,2,3,0.42,0.21,7.06,159.0,9.35,7.0,7.79,8.7,3,5,4,2,3,0.42,0.21,7.06,159.0,9.35,7.0,7.79,8.7,4,4,4,2,3,0.42,0.21,7.06
Indianapolis Colts,IND,DST,17,51,3.0,15,0.88,9,0.53,16,0.94,1,0.06,4,0.24,1,0.06,139.0,8.18,7.0,7.12,7.78,7,2,0,4,4,0.89,0.31,7.22,139.0,8.18,7.0,7.12,7.78,7,2,1,3,4,0.7,0.31,7.06,139.0,8.18,7.0,7.12,7.78,7,2,2,2,4,0.55,0.31,6.93
Chicago Bears,CHI,DST,17,30,1.76,22,1.29,6,0.35,10,0.59,0,0.0,2,0.12,0,0.0,120.0,7.06,7.0,6.15,6.97,8,0,2,3,4,0.7,0.31,6.74,120.0,7.06,7.0,6.15,6.97,8,0,2,3,4,0.7,0.31,6.74,120.0,7.06,7.0,6.15,6.97,8,1,1,3,4,0.7,0.31,6.74
Tampa Bay Buccaneers,TB,DST,17,48,2.82,13,0.76,12,0.71,18,1.06,1,0.06,1,0.06,0,0.0,133.0,7.82,6.0,5.38,7.98,6,5,1,0,5,0.42,0.42,6.6,133.0,7.82,6.0,5.38,7.98,6,5,0,3,3,0.55,0.21,6.5,133.0,7.82,6.0,5.38,7.98,6,5,0,1,5,0.55,0.42,6.72
Cincinnati Bengals,CIN,DST,17,44,2.59,17,1.0,9,0.53,11,0.65,0,0.0,1,0.06,1,0.06,118.0,6.94,6.0,3.98,7.64,4,5,4,3,1,0.31,0.06,5.93,118.0,6.94,6.0,3.98,7.64,4,6,3,3,1,0.31,0.06,5.93,118.0,6.94,6.0,3.98,7.64,4,5,3,4,1,0.42,0.06,6.05
Jacksonville Jaguars,JAC,DST,17,40,2.35,16,0.94,11,0.65,11,0.65,0,0.0,2,0.12,0,0.0,120.0,7.06,6.0,6.1,6.98,6,3,3,3,2,0.42,0.13,5.88,120.0,7.06,6.0,6.1,6.98,6,3,3,3,2,0.42,0.13,5.88,120.0,7.06,6.0,6.1,6.98,6,4,2,3,2,0.42,0.13,5.88
Green Bay Packers,GB,DST,17,45,2.65,7,0.41,11,0.65,10,0.59,0,0.0,2,0.12,0,0.0,115.0,6.76,6.0,4.56,7.19,6,4,3,2,2,0.31,0.13,5.84,115.0,6.76,6.0,4.56,7.19,7,4,2,2,2,0.31,0.13,5.84,115.0,6.76,6.0,4.56,7.19,6,4,3,2,2,0.31,0.13,5.84
New England Patriots,NE,DST,17,36,2.12,10,0.59,8,0.47,13,0.76,1,0.06,1,0.06,1,0.06,109.0,6.41,6.0,3.5,7.28,4,7,2,3,1,0.31,0.06,5.79,109.0,6.41,6.0,3.5,7.28,5,6,2,3,1,0.31,0.06,5.79,109.0,6.41,6.0,3.5,7.28,4,6,4,2,1,0.21,0.06,5.68
Detroit Lions,DET,DST,17,41,2.41,16,0.94,6,0.35,11,0.65,1,0.06,1,0.06,0,0.0,107.0,6.29,6.0,5.17,6.49,5,5,2,4,1,0.42,0.06,5.58,107.0,6.29,6.0,5.17,6.49,6,3,2,5,1,0.55,0.06,5.71,107.0,6.29,6.0,5.17,6.49,5,4,3,4,1,0.42,0.06,5.58
Denver Broncos,DEN,DST,17,42,2.47,11,0.65,15,0.88,17,1.0,1,0.06,1,0.06,1,0.06,118.0,6.94,5.0,5.54,7.03,6,3,3,1,4,0.42,0.31,5.7,118.0,6.94,5.0,5.54,7.03,7,2,3,1,4,0.42,0.31,5.7,118.0,6.94,5.0,5.54,7.03,7,2,4,0,4,0.31,0.31,5.59
Minnesota Vikings,MIN,DST,17,43,2.53,11,0.65,11,0.65,21,1.24,0,0.0,2,0.12,0,0.0,124.0,7.29,5.0,6.6,7.07,8,2,2,2,3,0.42,0.21,5.61,124.0,7.29,5.0,6.6,7.07,8,1,3,2,3,0.42,0.21,5.61,124.0,7.29,5.0,6.6,7.07,8,1,3,2,3,0.42,0.21,5.61
Tennessee Titans,TEN,DST,17,45,2.65,6,0.35,8,0.47,11,0.65,0,0.0,1,0.06,0,0.0,102.0,6.0,5.0,3.95,6.61,7,3,3,3,1,0.31,0.06,5.12,102.0,6.0,5.0,3.95,6.61,6,4,2,4,1,0.42,0.06,5.24,102.0,6.0,5.0,3.95,6.61,7,3,2,4,1,0.42,0.06,5.24
Philadelphia Eagles,PHI,DST,17,43,2.53,9,0.53,8,0.47,13,0.76,1,0.06,3,0.18,0,0.0,101.0,5.94,5.0,3.73,6.64,6,5,2,4,0,0.31,0.0,5.04,101.0,5.94,5.0,3.73,6.64,7,4,2,3,1,0.31,0.06,5.13,101.0,5.94,5.0,3.73,6.64,6,5,2,3,1,0.31,0.06,5.13
Los Angeles Chargers,LAC,DST,17,48,2.82,9,0.53,12,0.71,13,0.76,0,0.0,0,0.0,1,0.06,112.0,6.59,5.0,7.47,6.19,8,1,5,0,3,0.21,0.21,5.04,112.0,6.59,5.0,7.47,6.19,8,1,5,0,3,0.21,0.21,5.04,112.0,6.59,5.0,7.47,6.19,8,1,5,0,3,0.21,0.21,5.04
Seattle Seahawks,SEA,DST,17,47,2.76,11,0.65,8,0.47,12,0.71,0,0.0,3,0.18,0,0.0,109.0,6.41,5.0,7.07,6.11,7,4,3,1,2,0.21,0.13,4.9,109.0,6.41,5.0,7.07,6.11,7,4,3,1,2,0.21,0.13,4.9,109.0,6.41,5.0,7.07,6.11,7,4,3,2,1,0.21,0.06,4.81
Atlanta Falcons,ATL,DST,17,42,2.47,8,0.47,8,0.47,18,1.06,1,0.06,1,0.06,0,0.0,95.0,5.59,4.0,5.12,5.77,9,1,2,4,1,0.42,0.06,4.5,95.0,5.59,4.0,5.12,5.77,9,2,1,4,1,0.42,0.06,4.5,95.0,5.59,4.0,5.12,5.77,10,0,2,4,1,0.42,0.06,4.5
Los Angeles Rams,LAR,DST,17,41,2.41,10,0.59,5,0.29,7,0.41,2,0.12,0,0.0,0,0.0,83.0,4.88,5.0,2.76,5.89,10,3,3,1,0,0.06,0.0,4.44,83.0,4.88,5.0,2.76,5.89,7,6,3,1,0,0.06,0.0,4.44,83.0,4.88,5.0,2.76,5.89,9,4,2,2,0,0.13,0.0,4.54
Carolina Panthers,CAR,DST,17,27,1.59,8,0.47,3,0.18,5,0.29,0,0.0,2,0.12,1,0.06,71.0,4.18,4.0,3.8,4.65,11,2,3,1,0,0.06,0.0,3.55,71.0,4.18,4.0,3.8,4.65,11,1,4,1,0,0.06,0.0,3.55,71.0,4.18,4.0,3.8,4.65,11,1,4,1,0,0.06,0.0,3.55
Washington Commanders,WAS,DST,17,39,2.29,8,0.47,10,0.59,10,0.59,0,0.0,0,0.0,0,0.0,64.0,3.76,3.0,4.99,3.91,10,1,3,3,0,0.21,0.0,3.05,64.0,3.76,3.0,4.99,3.91,10,1,3,3,0,0.21,0.0,3.05,64.0,3.76,3.0,4.99,3.91,10,1,3,3,0,0.21,0.0,3.05
Arizona Cardinals,ARI,DST,17,33,1.94,11,0.65,6,0.35,4,0.24,0,0.0,1,0.06,0,0.0,65.0,3.82,3.0,5.43,3.89,12,2,1,1,1,0.13,0.06,3.02,65.0,3.82,3.0,5.43,3.89,11,3,1,1,1,0.13,0.06,3.02,65.0,3.82,3.0,5.43,3.89,11,3,0,2,1,0.21,0.06,3.12
