Player,TEAM,POS,G,SACK,SACK_mean,INT,INT_mean,FR,FR_mean,FF,FF_mean,SFTY,SFTY_mean,D_TD,D_TD_mean,ST_TD,ST_TD_mean,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Carolina Panthers,CAR,DST,16,60,3.75,20,1.25,10,0.62,11,0.69,0,0.0,4,0.25,0,0.0,190.0,11.88,12.5,5.95,11.81,2,2,3,3,6,1.29,0.6,11.6,190.0,11.88,12.5,5.95,11.81,1,2,4,2,7,1.29,0.78,11.75,190.0,11.88,12.5,5.95,11.81,2,2,3,2,7,1.29,0.78,11.75
Seattle Seahawks,SEA,DST,16,44,2.75,28,1.75,11,0.69,14,0.88,2,0.12,4,0.25,0,0.0,196.0,12.25,11.0,5.71,12.32,1,1,3,6,5,2.2,0.45,11.54,196.0,12.25,11.0,5.71,12.32,2,0,4,5,5,1.67,0.45,11.28,196.0,12.25,11.0,5.71,12.32,1,1,3,6,5,2.2,0.45,11.54
San Francisco 49ers,SF,DST,16,38,2.38,18,1.12,11,0.69,11,0.69,1,0.06,5,0.31,0,0.0,163.0,10.19,11.0,5.22,10.47,2,4,1,6,3,1.29,0.23,10.08,163.0,10.19,11.0,5.22,10.47,2,4,1,6,3,1.29,0.23,10.08,163.0,10.19,11.0,5.22,10.47,2,4,1,5,4,1.29,0.33,10.2
Kansas City Chiefs,KC,DST,16,47,2.94,21,1.31,15,0.94,12,0.75,0,0.0,7,0.44,4,0.25,180.0,11.25,10.5,9.33,10.0,6,0,2,1,7,1.0,0.78,10.03,180.0,11.25,10.5,9.33,10.0,5,1,2,1,7,1.0,0.78,10.03,180.0,11.25,10.5,9.33,10.0,6,0,2,2,6,1.0,0.6,9.88
Arizona Cardinals,ARI,DST,16,47,2.94,20,1.25,10,0.62,11,0.69,2,0.12,5,0.31,0,0.0,168.0,10.5,11.0,6.08,10.39,3,4,0,5,4,1.29,0.33,10.16,168.0,10.5,11.0,6.08,10.39,4,2,2,5,3,1.0,0.23,9.86,168.0,10.5,11.0,6.08,10.39,3,4,0,6,3,1.29,0.23,10.05
Cincinnati Bengals,CIN,DST,16,43,2.69,20,1.25,11,0.69,13,0.81,0,0.0,6,0.38,1,0.06,167.0,10.44,11.0,8.05,9.63,5,1,2,3,5,1.0,0.45,9.79,167.0,10.44,11.0,8.05,9.63,5,2,1,3,5,1.0,0.45,9.79,167.0,10.44,11.0,8.05,9.63,4,2,1,4,5,1.29,0.45,9.99
Indianapolis Colts,IND,DST,16,42,2.62,15,0.94,12,0.75,15,0.94,2,0.12,1,0.06,1,0.06,135.0,8.44,8.5,6.93,8.08,6,1,1,5,3,1.0,0.23,7.93,135.0,8.44,8.5,6.93,8.08,6,2,0,5,3,1.0,0.23,7.93,135.0,8.44,8.5,6.93,8.08,6,2,1,4,3,0.78,0.23,7.76
New England Patriots,NE,DST,16,48,3.0,17,1.06,12,0.75,11,0.69,0,0.0,3,0.19,0,0.0,145.0,9.06,8.0,6.81,8.72,6,2,0,5,3,1.0,0.23,7.99,145.0,9.06,8.0,6.81,8.72,5,3,1,4,3,0.78,0.23,7.82,145.0,9.06,8.0,6.81,8.72,7,1,2,4,2,0.6,0.14,7.56
Los Angeles Rams,LAR,DST,16,53,3.31,14,0.88,15,0.94,18,1.12,1,0.06,5,0.31,1,0.06,154.0,9.62,7.5,7.89,8.92,6,1,3,2,4,0.6,0.33,7.66,154.0,9.62,7.5,7.89,8.92,6,2,2,2,4,0.6,0.33,7.66,154.0,9.62,7.5,7.89,8.92,6,1,3,2,4,0.6,0.33,7.66
Buffalo Bills,BUF,DST,16,57,3.56,23,1.44,6,0.38,12,0.75,0,0.0,3,0.19,0,0.0,143.0,8.94,6.5,6.24,8.79,4,4,2,1,5,0.6,0.45,7.33,143.0,8.94,6.5,6.24,8.79,6,3,1,1,5,0.6,0.45,7.33,143.0,8.94,6.5,6.24,8.79,4,4,2,1,5,0.6,0.45,7.33
