Player,TEAM,POS,G,SACK,SACK_mean,INT,INT_mean,FR,FR_mean,FF,FF_mean,SFTY,SFTY_mean,D_TD,D_TD_mean,ST_TD,ST_TD_mean,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Philadelphia Eagles,PHI,DST,16,37,2.31,19,1.19,12,0.75,11,0.69,2,0.12,2,0.12,0,0.0,122.0,7.62,8.0,5.14,7.87,4,3,5,3,1,0.33,0.07,6.86,122.0,7.62,8.0,5.14,7.87,4,3,6,2,1,0.23,0.07,6.74,122.0,7.62,8.0,5.14,7.87,4,3,6,2,1,0.23,0.07,6.74
New York Giants,NYG,DST,16,34,2.12,17,1.06,12,0.75,13,0.81,0,0.0,2,0.12,1,0.06,120.0,7.5,6.5,7.24,7.11,6,3,1,1,5,0.6,0.45,6.66,120.0,7.5,6.5,7.24,7.11,6,2,2,1,5,0.6,0.45,6.66,120.0,7.5,6.5,7.24,7.11,6,3,1,1,5,0.6,0.45,6.66
Dallas Cowboys,DAL,DST,16,34,2.12,15,0.94,13,0.81,13,0.81,0,0.0,5,0.31,1,0.06,116.0,7.25,7.5,7.28,6.86,5,3,3,3,2,0.45,0.14,6.48,116.0,7.25,7.5,7.28,6.86,6,1,4,3,2,0.45,0.14,6.48,116.0,7.25,7.5,7.28,6.86,5,2,4,3,2,0.45,0.14,6.48
Baltimore Ravens,BAL,DST,16,40,2.5,16,1.0,7,0.44,14,0.88,0,0.0,1,0.06,2,0.12,111.0,6.94,7.0,4.88,7.25,6,3,3,2,2,0.33,0.14,6.31,111.0,6.94,7.0,4.88,7.25,6,2,4,2,2,0.33,0.14,6.31,111.0,6.94,7.0,4.88,7.25,6,3,3,2,2,0.33,0.14,6.31
Tampa Bay Buccaneers,TB,DST,16,35,2.19,21,1.31,10,0.62,13,0.81,1,0.06,3,0.19,0,0.0,126.0,7.88,5.5,7.27,7.45,7,3,1,1,4,0.45,0.33,6.14,126.0,7.88,5.5,7.27,7.45,7,2,1,2,4,0.6,0.33,6.27,126.0,7.88,5.5,7.27,7.45,7,3,0,2,4,0.6,0.33,6.27
Miami Dolphins,MIA,DST,16,42,2.62,18,1.12,6,0.38,8,0.5,1,0.06,2,0.12,0,0.0,121.0,7.56,6.0,6.08,7.49,6,5,1,1,3,0.33,0.23,6.11,121.0,7.56,6.0,6.08,7.49,7,4,1,1,3,0.33,0.23,6.11,121.0,7.56,6.0,6.08,7.49,7,4,1,1,3,0.33,0.23,6.11
Tennessee Titans,TEN,DST,16,36,2.25,13,0.81,12,0.75,13,0.81,0,0.0,3,0.19,0,0.0,116.0,7.25,6.5,6.41,7.08,4,6,1,4,1,0.45,0.07,6.07,116.0,7.25,6.5,6.41,7.08,5,4,2,4,1,0.45,0.07,6.07,116.0,7.25,6.5,6.41,7.08,4,6,1,4,1,0.45,0.07,6.07
New Orleans Saints,NO,DST,16,49,3.06,12,0.75,7,0.44,10,0.62,0,0.0,0,0.0,0,0.0,109.0,6.81,6.5,4.0,7.48,5,4,3,4,0,0.33,0.0,6.01,109.0,6.81,6.5,4.0,7.48,4,5,3,4,0,0.33,0.0,6.01,109.0,6.81,6.5,4.0,7.48,5,4,3,4,0,0.33,0.0,6.01
Chicago Bears,CHI,DST,16,31,1.94,19,1.19,9,0.56,17,1.06,0,0.0,6,0.38,1,0.06,111.0,6.94,6.5,7.09,6.61,6,3,2,3,2,0.45,0.14,5.98,111.0,6.94,6.5,7.09,6.61,6,4,1,4,1,0.45,0.07,5.88,111.0,6.94,6.5,7.09,6.61,6,3,2,3,2,0.45,0.14,5.98
Cleveland Browns,CLE,DST,16,40,2.5,14,0.88,7,0.44,7,0.44,0,0.0,4,0.25,1,0.06,111.0,6.94,6.0,5.41,7.07,6,3,3,3,1,0.33,0.07,5.74,111.0,6.94,6.0,5.41,7.07,5,4,2,4,1,0.45,0.07,5.86,111.0,6.94,6.0,5.41,7.07,6,3,3,3,1,0.33,0.07,5.74
Denver Broncos,DEN,DST,16,41,2.56,17,1.06,9,0.56,14,0.88,0,0.0,2,0.12,3,0.19,115.0,7.19,5.5,5.26,7.38,7,2,3,2,2,0.33,0.14,5.76,115.0,7.19,5.5,5.26,7.38,6,3,3,2,2,0.33,0.14,5.76,115.0,7.19,5.5,5.26,7.38,7,2,2,3,2,0.45,0.14,5.88
Pittsburgh Steelers,PIT,DST,16,34,2.12,10,0.62,10,0.62,14,0.88,1,0.06,3,0.19,1,0.06,110.0,6.88,6.0,6.16,6.78,8,0,4,3,1,0.33,0.07,5.62,110.0,6.88,6.0,6.16,6.78,8,0,4,2,2,0.33,0.14,5.72,110.0,6.88,6.0,6.16,6.78,8,0,4,2,2,0.33,0.14,5.72
Las Vegas Raiders,LV,DST,16,38,2.38,9,0.56,13,0.81,17,1.06,0,0.0,3,0.19,0,0.0,104.0,6.5,6.0,5.96,6.47,7,3,3,1,2,0.23,0.14,5.48,104.0,6.5,6.0,5.96,6.47,7,3,2,2,2,0.33,0.14,5.59,104.0,6.5,6.0,5.96,6.47,7,3,3,1,2,0.23,0.14,5.48
New York Jets,NYJ,DST,16,41,2.56,13,0.81,2,0.12,9,0.56,1,0.06,1,0.06,0,0.0,97.0,6.06,6.0,4.33,6.53,8,0,3,5,0,0.45,0.0,5.55,97.0,6.06,6.0,4.33,6.53,7,3,2,4,0,0.33,0.0,5.43,97.0,6.06,6.0,4.33,6.53,7,1,3,5,0,0.45,0.0,5.55
Washington Commanders,WAS,DST,16,36,2.25,16,1.0,9,0.56,12,0.75,0,0.0,5,0.31,0,0.0,103.0,6.44,6.0,5.88,6.43,6,5,2,2,1,0.23,0.07,5.36,103.0,6.44,6.0,5.88,6.43,7,3,3,2,1,0.23,0.07,5.36,103.0,6.44,6.0,5.88,6.43,6,5,2,2,1,0.23,0.07,5.36
Detroit Lions,DET,DST,16,33,2.06,15,0.94,7,0.44,8,0.5,2,0.12,2,0.12,2,0.12,100.0,6.25,6.0,6.47,6.09,7,2,4,1,2,0.23,0.14,5.33,100.0,6.25,6.0,6.47,6.09,8,1,4,1,2,0.23,0.14,5.33,100.0,6.25,6.0,6.47,6.09,6,3,4,1,2,0.23,0.14,5.33
Green Bay Packers,GB,DST,16,44,2.75,11,0.69,11,0.69,13,0.81,0,0.0,3,0.19,1,0.06,100.0,6.25,5.5,4.27,6.76,8,2,4,1,1,0.14,0.07,5.19,100.0,6.25,5.5,4.27,6.76,7,3,4,1,1,0.14,0.07,5.19,100.0,6.25,5.5,4.27,6.76,8,2,4,1,1,0.14,0.07,5.19
Jacksonville Jaguars,JAC,DST,16,31,1.94,11,0.69,10,0.62,14,0.88,3,0.19,2,0.12,0,0.0,86.0,5.38,5.0,4.87,5.62,8,2,3,2,1,0.23,0.07,4.64,86.0,5.38,5.0,4.87,5.62,8,2,3,2,1,0.23,0.07,4.64,86.0,5.38,5.0,4.87,5.62,8,2,3,2,1,0.23,0.07,4.64
Los Angeles Chargers,LAC,DST,16,35,2.19,11,0.69,6,0.38,9,0.56,0,0.0,1,0.06,0,0.0,91.0,5.69,4.5,3.55,6.44,8,3,4,0,1,0.07,0.07,4.56,91.0,5.69,4.5,3.55,6.44,9,2,4,0,1,0.07,0.07,4.56,91.0,5.69,4.5,3.55,6.44,9,2,4,0,1,0.07,0.07,4.56
Atlanta Falcons,ATL,DST,16,32,2.0,10,0.62,11,0.69,13,0.81,0,0.0,3,0.19,0,0.0,84.0,5.25,4.0,5.16,5.41,9,2,2,1,2,0.23,0.14,4.26,84.0,5.25,4.0,5.16,5.41,10,1,2,1,2,0.23,0.14,4.26,84.0,5.25,4.0,5.16,5.41,9,2,2,1,2,0.23,0.14,4.26
Minnesota Vikings,MIN,DST,16,41,2.56,12,0.75,8,0.5,11,0.69,0,0.0,1,0.06,3,0.19,72.0,4.5,4.5,5.02,4.67,10,1,4,0,1,0.07,0.07,3.85,72.0,4.5,4.5,5.02,4.67,8,4,2,1,1,0.14,0.07,3.95,72.0,4.5,4.5,5.02,4.67,10,1,3,1,1,0.14,0.07,3.95
Houston Texans,HOU,DST,16,32,2.0,7,0.44,4,0.25,8,0.5,1,0.06,1,0.06,1,0.06,64.0,4.0,3.5,3.85,4.44,10,2,4,0,0,0.0,0.0,3.18,64.0,4.0,3.5,3.85,4.44,9,3,3,1,0,0.07,0.0,3.27,64.0,4.0,3.5,3.85,4.44,10,2,4,0,0,0.0,0.0,3.18
