Player,TEAM,POS,G,SACK,SACK_mean,INT,INT_mean,FR,FR_mean,FF,FF_mean,SFTY,SFTY_mean,D_TD,D_TD_mean,ST_TD,ST_TD_mean,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
San Francisco 49ers,SF,DST,16,42,2.62,23,1.44,15,0.94,18,1.12,1,0.06,1,0.06,2,0.12,171.0,10.69,9.5,5.57,10.81,2,1,5,4,4,1.0,0.33,9.54,171.0,10.69,9.5,5.57,10.81,1,3,4,4,4,1.0,0.33,9.54,171.0,10.69,9.5,5.57,10.81,1,2,5,4,4,1.0,0.33,9.54
Philadelphia Eagles,PHI,DST,16,50,3.12,15,0.94,9,0.56,9,0.56,1,0.06,4,0.25,0,0.0,145.0,9.06,8.5,6.67,8.76,5,1,2,3,5,1.0,0.45,8.45,145.0,9.06,8.5,6.67,8.76,5,1,2,3,5,1.0,0.45,8.45,145.0,9.06,8.5,6.67,8.76,5,1,2,3,5,1.0,0.45,8.45
Seattle Seahawks,SEA,DST,16,33,2.06,22,1.38,9,0.56,10,0.62,1,0.06,4,0.25,1,0.06,156.0,9.75,7.5,8.67,8.83,6,1,2,1,6,0.78,0.6,8.04,156.0,9.75,7.5,8.67,8.83,6,1,2,1,6,0.78,0.6,8.04,156.0,9.75,7.5,8.67,8.83,6,1,2,1,6,0.78,0.6,8.04
Chicago Bears,CHI,DST,16,33,2.06,20,1.25,11,0.69,13,0.81,1,0.06,7,0.44,3,0.19,160.0,10.0,8.0,8.33,9.15,3,3,3,3,4,0.78,0.33,8.1,160.0,10.0,8.0,8.33,9.15,3,3,4,2,4,0.6,0.33,7.95,160.0,10.0,8.0,8.33,9.15,3,3,4,2,4,0.6,0.33,7.95
Baltimore Ravens,BAL,DST,16,48,3.0,15,0.94,11,0.69,21,1.31,0,0.0,4,0.25,1,0.06,158.0,9.88,8.0,8.75,8.92,6,1,2,3,4,0.78,0.33,8.01,158.0,9.88,8.0,8.75,8.92,5,2,3,2,4,0.6,0.33,7.86,158.0,9.88,8.0,8.75,8.92,5,2,2,3,4,0.78,0.33,8.01
New England Patriots,NE,DST,16,40,2.5,23,1.44,11,0.69,10,0.62,0,0.0,3,0.19,1,0.06,136.0,8.5,7.0,4.86,8.9,4,3,3,3,3,0.6,0.23,7.34,136.0,8.5,7.0,4.86,8.9,4,3,2,4,3,0.78,0.23,7.49,136.0,8.5,7.0,4.86,8.9,5,3,2,3,3,0.6,0.23,7.34
Green Bay Packers,GB,DST,16,29,1.81,31,1.94,7,0.44,12,0.75,0,0.0,5,0.31,2,0.12,138.0,8.62,7.5,4.75,9.08,3,4,3,3,3,0.6,0.23,7.61,138.0,8.62,7.5,4.75,9.08,3,4,4,2,3,0.45,0.23,7.47,138.0,8.62,7.5,4.75,9.08,3,4,3,3,3,0.6,0.23,7.61
Houston Texans,HOU,DST,16,44,2.75,17,1.06,10,0.62,10,0.62,0,0.0,2,0.12,1,0.06,135.0,8.44,7.0,4.65,8.93,4,4,1,5,2,0.78,0.14,7.39,135.0,8.44,7.0,4.65,8.93,3,5,1,5,2,0.78,0.14,7.39,135.0,8.44,7.0,4.65,8.93,4,4,1,5,2,0.78,0.14,7.39
New York Jets,NYJ,DST,16,35,2.19,19,1.19,12,0.75,15,0.94,3,0.19,3,0.19,2,0.12,144.0,9.0,7.0,6.69,8.7,5,3,1,2,5,0.78,0.45,7.65,144.0,9.0,7.0,6.69,8.7,4,3,3,2,4,0.6,0.33,7.37,144.0,9.0,7.0,6.69,8.7,5,2,2,3,4,0.78,0.33,7.52
Detroit Lions,DET,DST,16,41,2.56,21,1.31,13,0.81,17,1.06,1,0.06,7,0.44,0,0.0,163.0,10.19,6.5,8.86,9.18,5,3,3,0,5,0.45,0.45,7.35,163.0,10.19,6.5,8.86,9.18,5,3,3,0,5,0.45,0.45,7.35,163.0,10.19,6.5,8.86,9.18,6,3,2,0,5,0.45,0.45,7.35
