Player,TEAM,POS,G,SACK,SACK_mean,INT,INT_mean,FR,FR_mean,FF,FF_mean,SFTY,SFTY_mean,D_TD,D_TD_mean,ST_TD,ST_TD_mean,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Dallas Cowboys,DAL,DST,16.76,39.0,2.32,22.05,1.3,8.86,0.53,13.0,0.77,0.0,0.0,5.0,0.29,2.48,0.15,160.52,9.51,6.88,7.1,9.02,4.33,1.9,3.29,1.24,6.0,0.78,0.58,7.84,160.52,9.51,6.88,7.1,9.02,4.14,2.1,3.29,1.24,6.0,0.78,0.58,7.84,160.52,9.51,6.88,7.1,9.02,4.14,1.9,3.48,1.24,6.0,0.78,0.58,7.84,3,9.8,166.66,1.0
New England Patriots,NE,DST,16.76,34.24,2.04,22.14,1.32,6.62,0.39,10.0,0.6,0.05,0.0,2.9,0.17,0.48,0.03,152.0,9.05,7.64,7.98,8.36,5.43,2.38,1.62,2.76,4.57,0.82,0.39,7.72,152.0,9.05,7.64,7.98,8.36,5.48,2.52,1.43,2.76,4.57,0.82,0.39,7.72,152.0,9.05,7.64,7.98,8.36,5.67,2.14,1.62,3.52,3.81,0.82,0.31,7.62,3,8.01,136.23,10.0
Indianapolis Colts,IND,DST,16.76,34.71,2.08,18.05,1.08,12.95,0.77,15.67,0.93,1.43,0.09,1.57,0.1,2.0,0.12,138.81,8.29,7.5,5.47,8.44,4.38,2.95,1.95,3.43,4.05,0.87,0.33,7.65,138.81,8.29,7.5,5.47,8.44,4.43,1.95,2.9,3.62,3.86,0.87,0.3,7.63,138.81,8.29,7.5,5.47,8.44,4.33,3.0,1.95,3.43,4.05,0.87,0.33,7.65,3,9.62,163.51,2.0
Buffalo Bills,BUF,DST,16.76,41.33,2.47,18.0,1.07,10.9,0.65,11.0,0.66,0.05,0.0,1.33,0.08,0.24,0.01,144.05,8.58,7.67,6.96,8.22,4.48,1.52,3.9,3.0,3.86,0.7,0.3,7.5,144.05,8.58,7.67,6.96,8.22,4.52,1.29,4.1,3.0,3.86,0.7,0.3,7.5,144.05,8.58,7.67,6.96,8.22,4.52,1.29,4.1,3.0,3.86,0.7,0.3,7.5,3,8.99,152.87,4.0
Miami Dolphins,MIA,DST,16.76,45.48,2.7,14.71,0.88,11.95,0.71,13.76,0.82,0.05,0.0,4.24,0.25,1.0,0.06,147.33,8.78,6.31,7.75,8.16,6.71,1.9,0.24,3.14,4.76,0.93,0.41,7.21,147.33,8.78,6.31,7.75,8.16,6.67,1.95,0.24,2.95,4.95,0.93,0.43,7.24,147.33,8.78,6.31,7.75,8.16,6.71,1.52,0.62,3.14,4.76,0.93,0.41,7.21,3,8.22,139.68,9.0
New Orleans Saints,NO,DST,16.76,46.05,2.75,17.76,1.06,7.33,0.44,10.76,0.64,0.24,0.01,1.86,0.11,0.05,0.0,141.29,8.43,6.17,6.05,8.36,4.86,2.9,2.19,1.67,5.14,0.68,0.45,7.1,141.29,8.43,6.17,6.05,8.36,4.29,4.24,1.43,1.67,5.14,0.68,0.45,7.1,141.29,8.43,6.17,6.05,8.36,4.86,2.9,2.19,1.67,5.14,0.68,0.45,7.1,3,7.52,127.91,15.0
Los Angeles Rams,LAR,DST,16.76,50.57,3.02,17.76,1.06,6.62,0.39,12.81,0.76,0.24,0.01,0.95,0.06,0.76,0.05,127.9,7.66,7.48,4.78,8.04,3.57,1.38,6.24,2.71,2.86,0.53,0.23,7.09,127.9,7.66,7.48,4.78,8.04,3.57,1.38,6.24,2.71,2.86,0.53,0.23,7.09,127.9,7.66,7.48,4.78,8.04,3.57,1.57,6.0,3.52,2.1,0.54,0.18,7.03,3,9.48,161.21,3.0
Tampa Bay Buccaneers,TB,DST,16.76,47.19,2.81,16.38,0.98,11.81,0.71,15.24,0.91,0.19,0.01,2.0,0.12,0.0,0.0,136.48,8.13,6.81,6.13,8.03,4.62,3.0,2.52,3.52,3.1,0.66,0.23,6.96,136.48,8.13,6.81,6.13,8.03,4.62,3.0,2.52,3.33,3.29,0.66,0.24,6.98,136.48,8.13,6.81,6.13,8.03,4.62,2.24,3.29,3.52,3.1,0.66,0.23,6.96,3,7.87,133.83,12.0
San Francisco 49ers,SF,DST,16.76,44.57,2.65,9.71,0.58,10.62,0.64,19.1,1.14,0.0,0.0,1.95,0.12,0.0,0.0,114.81,6.84,7.45,4.61,7.31,4.62,3.24,1.48,6.0,1.43,0.81,0.1,6.89,114.81,6.84,7.45,4.61,7.31,4.38,2.71,2.24,5.81,1.62,0.81,0.12,6.91,114.81,6.84,7.45,4.61,7.31,4.38,3.67,1.29,6.0,1.43,0.81,0.1,6.89,3,8.36,142.08,8.0
Kansas City Chiefs,KC,DST,16.76,31.86,1.9,15.24,0.91,12.14,0.72,16.38,0.97,0.19,0.01,3.57,0.21,0.43,0.03,127.43,7.6,6.71,6.65,7.36,5.9,1.86,3.1,2.9,3.0,0.55,0.21,6.54,127.43,7.6,6.71,6.65,7.36,5.9,1.29,3.67,2.95,2.95,0.55,0.21,6.53,127.43,7.6,6.71,6.65,7.36,5.9,2.24,2.71,2.95,2.95,0.55,0.21,6.53,3,8.4,142.75,6.0
Pittsburgh Steelers,PIT,DST,16.95,55.14,3.26,14.29,0.84,9.43,0.56,15.38,0.91,0.19,0.01,0.71,0.04,0.81,0.05,121.38,7.17,5.88,5.67,7.22,5.43,2.57,2.19,3.05,3.71,0.71,0.29,6.36,121.38,7.17,5.88,5.67,7.22,5.43,2.57,2.19,2.33,4.43,0.71,0.36,6.43,121.38,7.17,5.88,5.67,7.22,5.43,2.57,2.19,2.33,4.43,0.71,0.36,6.43,3,8.57,145.71,5.0
Arizona Cardinals,ARI,DST,16.76,42.29,2.53,12.33,0.73,13.05,0.77,18.43,1.1,0.19,0.01,1.52,0.09,0.0,0.0,120.19,7.16,6.71,5.53,7.25,6.71,1.05,3.19,3.86,1.95,0.54,0.13,6.38,120.19,7.16,6.71,5.53,7.25,6.71,1.05,3.19,3.86,1.95,0.54,0.13,6.38,120.19,7.16,6.71,5.53,7.25,6.71,1.05,3.19,3.86,1.95,0.54,0.13,6.38,3,7.93,134.75,11.0
