Player,TEAM,POS,G,SACK,SACK_mean,INT,INT_mean,FR,FR_mean,FF,FF_mean,SFTY,SFTY_mean,D_TD,D_TD_mean,ST_TD,ST_TD_mean,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Las Vegas Raiders,LV,DST,16.99,41.61,2.45,11.32,0.66,8.58,0.5,12.19,0.71,0.8,0.05,4.33,0.25,0.0,0.0,127.99,7.53,6.81,6.79,7.2,7.55,0.6,3.67,2.14,3.02,0.46,0.23,6.43,127.99,7.53,6.81,6.79,7.2,7.55,0.78,3.49,2.85,2.32,0.46,0.16,6.35,127.99,7.53,6.81,6.79,7.2,7.56,0.78,3.48,2.14,3.02,0.46,0.23,6.43,5,7.67,130.46,15.0
Green Bay Packers,GB,DST,16.99,42.6,2.51,9.45,0.55,10.06,0.59,10.15,0.6,0.2,0.01,2.0,0.12,0.19,0.01,115.22,6.78,6.05,4.8,7.12,6.62,3.75,2.01,2.71,1.89,0.39,0.12,5.9,115.22,6.78,6.05,4.8,7.12,5.87,3.76,1.44,4.01,1.91,0.54,0.13,6.06,115.22,6.78,6.05,4.8,7.12,6.06,4.32,2.01,2.71,1.89,0.39,0.12,5.9,5,7.1,120.64,23.0
Chicago Bears,CHI,DST,16.99,29.07,1.71,19.69,1.16,6.68,0.39,10.13,0.6,0.06,0.0,1.61,0.1,0.06,0.0,108.05,6.36,6.31,5.72,6.36,8.35,0.69,1.2,3.61,3.13,0.73,0.24,6.13,108.05,6.36,6.31,5.72,6.36,8.35,1.44,1.21,2.85,3.14,0.58,0.24,6.02,108.05,6.36,6.31,5.72,6.36,8.54,0.51,1.2,3.6,3.14,0.73,0.24,6.13,5,7.45,126.58,17.0
Jacksonville Jaguars,JAC,DST,16.99,38.42,2.26,15.15,0.89,10.88,0.64,11.67,0.69,0.0,0.0,2.32,0.14,0.07,0.0,120.16,7.07,5.76,6.09,6.99,6.51,2.73,2.32,2.88,2.55,0.5,0.18,5.91,120.16,7.07,5.76,6.09,6.99,5.94,3.29,1.56,3.82,2.36,0.59,0.16,5.98,120.16,7.07,5.76,6.09,6.99,6.69,2.35,2.51,2.88,2.55,0.5,0.18,5.91,5,7.31,124.26,19.0
Philadelphia Eagles,PHI,DST,16.99,47.49,2.8,10.64,0.63,8.22,0.48,13.27,0.78,0.76,0.05,2.91,0.17,0.01,0.0,110.91,6.53,5.77,3.87,7.26,6.06,3.53,2.32,3.41,1.67,0.48,0.12,5.9,110.91,6.53,5.77,3.87,7.26,5.31,5.04,1.58,3.59,1.48,0.48,0.1,5.88,110.91,6.53,5.77,3.87,7.26,5.31,4.28,2.33,3.4,1.67,0.48,0.12,5.9,5,6.43,109.23,29.0
Cincinnati Bengals,CIN,DST,16.99,40.95,2.41,15.99,0.94,9.29,0.55,11.51,0.68,0.0,0.0,1.04,0.06,0.76,0.05,116.11,6.83,5.96,4.19,7.43,5.42,5.13,2.4,2.86,1.18,0.31,0.07,5.85,116.11,6.83,5.96,4.19,7.43,5.56,3.47,3.93,2.85,1.18,0.31,0.07,5.85,116.11,6.83,5.96,4.19,7.43,5.42,5.13,2.4,2.86,1.18,0.31,0.07,5.85,5,7.25,123.22,21.0
Minnesota Vikings,MIN,DST,16.99,42.2,2.48,12.04,0.71,10.62,0.63,18.4,1.09,0.01,0.0,1.79,0.11,0.28,0.02,119.86,7.05,5.21,6.24,6.93,7.45,2.28,1.81,2.71,2.74,0.48,0.19,5.67,119.86,7.05,5.21,6.24,6.93,8.01,0.84,2.69,2.52,2.93,0.48,0.2,5.69,119.86,7.05,5.21,6.24,6.93,7.26,2.47,1.81,2.71,2.74,0.48,0.19,5.67,5,7.78,132.31,12.0
Denver Broncos,DEN,DST,16.99,40.59,2.39,11.84,0.7,13.15,0.77,16.04,0.94,0.94,0.06,0.8,0.05,0.76,0.05,114.55,6.74,4.94,5.44,6.86,6.25,2.96,2.93,1.11,3.74,0.4,0.28,5.56,114.55,6.74,4.94,5.44,6.86,6.35,2.85,2.99,2.01,2.79,0.4,0.19,5.46,114.55,6.74,4.94,5.44,6.86,7.06,2.14,2.94,1.11,3.74,0.4,0.28,5.56,5,7.58,128.83,16.0
Detroit Lions,DET,DST,16.99,39.91,2.35,14.91,0.88,6.84,0.4,11.24,0.66,0.95,0.06,0.94,0.06,0.2,0.01,102.15,6.01,5.68,5.14,6.2,5.8,4.09,1.35,4.61,1.13,0.52,0.07,5.45,102.15,6.01,5.68,5.14,6.2,5.8,3.33,2.87,3.86,1.13,0.43,0.07,5.35,102.15,6.01,5.68,5.14,6.2,5.79,4.11,1.4,4.56,1.13,0.52,0.07,5.44,5,7.3,124.06,20.0
Seattle Seahawks,SEA,DST,16.99,46.0,2.7,11.6,0.68,8.52,0.5,12.38,0.73,0.08,0.01,2.45,0.15,0.24,0.01,109.8,6.46,5.44,6.48,6.33,6.76,3.21,3.84,1.8,1.38,0.23,0.09,5.13,109.8,6.46,5.44,6.48,6.33,6.76,3.19,3.86,1.05,2.13,0.23,0.14,5.2,109.8,6.46,5.44,6.48,6.33,6.76,3.24,3.81,1.09,2.08,0.23,0.14,5.2,5,6.67,113.41,27.0
Tennessee Titans,TEN,DST,17.0,43.47,2.56,8.08,0.47,7.53,0.44,10.95,0.65,0.0,0.0,1.15,0.07,0.01,0.0,102.94,6.06,5.31,4.42,6.51,6.18,3.2,3.34,3.09,1.19,0.34,0.08,5.26,102.94,6.06,5.31,4.42,6.51,6.13,3.31,4.04,2.91,0.62,0.27,0.04,5.13,102.94,6.06,5.31,4.42,6.51,6.93,2.45,3.34,3.09,1.19,0.34,0.08,5.26,5,6.76,114.97,25.0
Los Angeles Chargers,LAC,DST,16.99,45.64,2.68,10.07,0.59,11.47,0.68,13.14,0.77,0.2,0.01,0.26,0.02,0.8,0.05,108.85,6.41,5.13,6.97,6.13,7.71,2.19,3.89,0.28,2.92,0.23,0.2,5.08,108.85,6.41,5.13,6.97,6.13,7.89,2.06,3.84,0.52,2.68,0.23,0.19,5.06,108.85,6.41,5.13,6.97,6.13,7.71,2.19,3.89,0.28,2.92,0.23,0.2,5.08,5,7.12,121.07,22.0
Los Angeles Rams,LAR,DST,16.99,41.0,2.41,11.6,0.68,5.27,0.31,7.72,0.45,1.52,0.09,0.24,0.01,0.05,0.0,89.54,5.27,5.14,3.29,6.1,7.74,4.24,3.18,1.49,0.34,0.14,0.02,4.7,89.54,5.27,5.14,3.29,6.1,7.74,4.98,2.44,1.48,0.35,0.14,0.02,4.7,89.54,5.27,5.14,3.29,6.1,6.99,4.99,3.18,1.54,0.29,0.14,0.02,4.7,5,4.95,84.1,32.0
Atlanta Falcons,ATL,DST,16.99,36.76,2.16,8.61,0.51,7.82,0.46,15.73,0.93,0.99,0.06,1.24,0.07,0.38,0.02,92.19,5.43,3.95,4.99,5.64,9.0,2.54,1.06,3.01,1.38,0.36,0.09,4.39,92.19,5.43,3.95,4.99,5.64,8.99,1.73,1.88,3.25,1.14,0.36,0.07,4.37,92.19,5.43,3.95,4.99,5.64,8.99,1.8,1.81,3.01,1.38,0.36,0.09,4.39,5,6.83,116.19,24.0
Carolina Panthers,CAR,DST,16.99,29.09,1.71,8.41,0.5,4.08,0.24,5.75,0.34,0.05,0.0,2.11,0.13,0.8,0.05,81.02,4.77,4.6,4.07,5.2,9.85,0.49,4.29,1.19,1.16,0.2,0.07,4.26,81.02,4.77,4.6,4.07,5.2,9.66,1.44,3.54,1.19,1.16,0.2,0.07,4.26,81.02,4.77,4.6,4.07,5.2,9.66,1.44,3.54,1.94,0.41,0.2,0.03,4.2,5,6.69,113.7,26.0
Arizona Cardinals,ARI,DST,16.99,34.12,2.01,11.09,0.66,6.99,0.41,6.16,0.37,0.01,0.0,1.79,0.11,0.0,0.0,75.55,4.45,3.61,5.47,4.52,10.18,2.51,1.32,1.74,1.25,0.23,0.08,3.65,75.55,4.45,3.61,5.47,4.52,10.93,1.94,1.12,1.56,1.44,0.24,0.09,3.67,75.55,4.45,3.61,5.47,4.52,10.93,1.94,1.13,1.74,1.25,0.23,0.08,3.65,5,5.67,96.38,31.0
Washington Commanders,WAS,DST,16.99,39.8,2.34,8.42,0.5,9.64,0.57,9.42,0.56,0.2,0.01,0.69,0.04,0.05,0.0,76.04,4.47,3.49,5.2,4.59,9.19,1.6,2.26,3.04,0.91,0.31,0.07,3.7,76.04,4.47,3.49,5.2,4.59,9.0,1.79,3.01,2.29,0.89,0.23,0.07,3.62,76.04,4.47,3.49,5.2,4.59,9.0,1.79,2.26,3.04,0.91,0.31,0.07,3.7,5,6.62,112.56,28.0
