Player,TEAM,POS,G,SACK,SACK_mean,INT,INT_mean,FR,FR_mean,FF,FF_mean,SFTY,SFTY_mean,D_TD,D_TD_mean,ST_TD,ST_TD_mean,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Chicago Bears,CHI,DST,16.0,47.86,2.99,22.48,1.41,9.67,0.6,15.48,0.97,1.0,0.06,5.24,0.33,0.43,0.03,172.29,10.77,10.95,6.49,10.5,1.33,3.71,2.95,2.0,6.0,1.08,0.64,10.31,172.29,10.77,10.95,6.49,10.5,1.33,3.71,3.14,1.81,6.0,1.06,0.64,10.28,172.29,10.77,10.95,6.49,10.5,1.33,3.71,2.95,2.0,6.0,1.08,0.64,10.31,3,8.63,146.69,2.0
Los Angeles Rams,LAR,DST,16.0,41.86,2.61,17.62,1.1,11.43,0.71,12.9,0.81,1.9,0.11,3.67,0.23,0.57,0.04,148.52,9.28,7.76,7.15,8.81,3.57,2.76,2.71,1.9,5.05,0.77,0.46,8.0,148.52,9.28,7.76,7.15,8.81,3.62,2.71,2.71,2.71,4.24,0.77,0.37,7.9,148.52,9.28,7.76,7.15,8.81,3.57,2.76,2.71,1.9,5.05,0.77,0.46,8.0,3,8.23,139.85,7.0
Houston Texans,HOU,DST,16.0,40.33,2.52,14.05,0.88,11.9,0.75,17.05,1.07,0.24,0.01,3.86,0.24,0.05,0.0,131.86,8.24,6.52,5.79,8.32,4.48,2.62,2.67,1.95,4.29,0.67,0.38,7.12,131.86,8.24,6.52,5.79,8.32,3.76,4.1,1.9,1.19,5.05,0.67,0.49,7.23,131.86,8.24,6.52,5.79,8.32,4.48,3.38,1.9,1.19,5.05,0.67,0.49,7.23,3,7.34,124.76,17.0
Jacksonville Jaguars,JAC,DST,16.0,40.24,2.51,12.71,0.8,7.14,0.45,8.19,0.52,1.52,0.09,2.9,0.18,1.0,0.06,124.0,7.75,6.9,6.06,7.61,5.38,2.19,1.76,3.95,2.71,0.79,0.22,6.89,124.0,7.75,6.9,6.06,7.61,4.67,2.9,1.76,3.38,3.29,0.79,0.26,6.95,124.0,7.75,6.9,6.06,7.61,4.67,2.9,1.76,3.43,3.24,0.79,0.26,6.95,3,8.01,136.18,8.0
New England Patriots,NE,DST,16.0,32.48,2.03,16.62,1.03,9.05,0.56,11.48,0.72,0.52,0.03,1.52,0.09,1.71,0.1,127.9,8.0,7.17,5.89,7.98,4.24,2.38,2.43,5.05,1.9,0.77,0.14,7.06,127.9,8.0,7.17,5.89,7.98,5.0,1.48,3.52,3.9,2.1,0.6,0.15,6.94,127.9,8.0,7.17,5.89,7.98,4.24,2.43,2.57,4.86,1.9,0.74,0.14,7.04,3,8.68,147.64,1.0
Baltimore Ravens,BAL,DST,16.0,42.05,2.63,14.19,0.89,6.57,0.41,9.48,0.59,0.0,0.0,3.48,0.22,1.19,0.07,134.95,8.44,6.5,7.88,7.81,5.19,2.52,1.9,1.95,4.43,0.68,0.39,6.93,134.95,8.44,6.5,7.88,7.81,5.19,1.81,2.62,2.0,4.38,0.68,0.38,6.93,134.95,8.44,6.5,7.88,7.81,5.19,1.05,3.57,1.76,4.43,0.63,0.39,6.9,3,8.4,142.74,5.0
New Orleans Saints,NO,DST,16.0,46.76,2.92,13.38,0.84,10.67,0.67,17.86,1.12,0.05,0.0,1.33,0.08,0.38,0.02,113.81,7.12,7.76,6.61,6.88,5.14,1.81,3.33,1.67,4.05,0.56,0.34,6.92,113.81,7.12,7.76,6.61,6.88,5.19,1.05,4.05,1.86,3.86,0.56,0.32,6.89,113.81,7.12,7.76,6.61,6.88,5.14,1.05,4.1,2.43,3.29,0.56,0.26,6.83,3,8.58,145.89,3.0
Kansas City Chiefs,KC,DST,16.0,46.86,2.93,15.33,0.96,11.76,0.73,18.71,1.17,0.05,0.0,3.86,0.24,1.1,0.07,124.76,7.8,7.12,7.31,7.37,5.33,1.76,2.71,3.24,2.95,0.65,0.23,6.8,124.76,7.8,7.12,7.31,7.37,6.0,1.1,2.52,3.43,2.95,0.69,0.23,6.83,124.76,7.8,7.12,7.31,7.37,5.33,1.76,2.71,3.24,2.95,0.65,0.23,6.8,3,8.36,142.18,6.0
Minnesota Vikings,MIN,DST,16.0,47.1,2.94,12.48,0.78,7.67,0.48,6.9,0.43,0.24,0.01,2.67,0.17,0.14,0.01,124.14,7.76,7.05,6.38,7.6,5.81,1.0,3.52,2.57,3.1,0.56,0.24,6.81,124.14,7.76,7.05,6.38,7.6,5.05,1.71,3.76,2.38,3.1,0.54,0.24,6.79,124.14,7.76,7.05,6.38,7.6,5.81,1.0,3.52,3.33,2.33,0.56,0.17,6.72,3,7.9,134.32,9.0
Seattle Seahawks,SEA,DST,16.0,42.19,2.64,12.33,0.77,12.76,0.8,14.76,0.92,0.43,0.03,2.33,0.14,0.19,0.01,124.19,7.76,6.45,5.74,7.8,4.9,2.33,2.57,2.52,3.67,0.63,0.3,6.79,124.19,7.76,6.45,5.74,7.8,4.14,3.05,2.81,2.14,3.86,0.6,0.32,6.78,124.19,7.76,6.45,5.74,7.8,4.9,2.33,2.76,2.33,3.67,0.6,0.3,6.76,3,7.76,131.95,10.0
