Player,TEAM,POS,DPCHT,G,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_LG,rec_LG_mean,rec_20,rec_20_mean,rec_TD,rec_TD_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_TD,rush_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Antonio Brown,FA,WR,0.0,16,129,8.06,181,11.31,1698,106.12,13.16,85.0,5.31,63,31.5,10,0.62,13,0.81,4,0.25,13,0.81,3.25,1.0,0.06,0,0.0,133,8.31,185,11.56,86.0,5.38,2,0.12,0.02,1.0,251.9,15.74,14.15,6.46,15.7,1,1,1,6,7,4.33,0.78,16.34,316.4,19.77,18.6,6.75,20.08,1,1,1,5,8,4.33,1.0,22.73,380.9,23.81,22.45,7.14,24.54,0,2,0,4,10,7.0,1.67,24.37
Odell Beckham Jr.,MIA,WR,1.0,12,91,7.58,130,10.83,1305,108.75,14.34,57.0,4.75,80,40.33,8,0.67,12,1.0,7,0.58,35,2.92,5.0,2.0,0.17,0,0.0,98,8.17,137,11.42,59.0,4.92,1,0.08,0.01,1.0,204.0,17.0,16.15,8.61,15.78,1,0,3,1,7,2.0,1.4,16.76,249.5,20.79,19.15,9.99,19.15,1,0,3,1,7,2.0,1.4,21.77,295.0,24.58,22.15,11.43,22.53,1,0,3,2,6,2.0,1.0,21.6
Demaryius Thomas,FA,WR,0.0,16,111,6.94,184,11.5,1619,101.19,14.59,69.0,4.31,86,32.19,16,1.0,11,0.69,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,111,6.94,184,11.5,69.0,4.31,0,0.0,0.0,1.0,229.9,14.37,11.85,9.08,13.16,3,0,3,5,5,1.67,0.45,13.11,285.4,17.84,15.4,9.82,16.5,3,0,1,7,5,3.0,0.45,18.61,340.9,21.31,19.0,10.65,19.88,3,0,0,7,6,4.33,0.6,19.79
Dez Bryant,FA,WR,0.0,16,88,5.5,137,8.56,1320,82.5,15.0,60.0,3.75,68,34.94,13,0.81,16,1.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,88,5.5,137,8.56,60.0,3.75,0,0.0,0.0,1.0,228.0,14.25,13.9,7.44,13.72,2,3,2,4,5,1.29,0.45,13.64,272.0,17.0,16.85,7.99,16.55,3,3,1,2,7,1.29,0.78,18.12,316.0,19.75,19.6,8.65,19.4,3,3,1,2,7,1.29,0.78,18.48
Randall Cobb,FA,WR,0.0,16,91,5.69,127,7.94,1287,80.44,14.14,71.0,4.44,70,30.06,17,1.06,12,0.75,11,0.69,37,2.31,3.36,1.0,0.06,0,0.0,102,6.38,138,8.62,72.0,4.5,2,0.12,0.02,1.0,202.4,12.65,11.85,5.59,13.08,3,0,4,4,5,1.29,0.45,12.57,247.9,15.49,14.7,6.02,16.19,3,1,2,4,6,1.67,0.6,17.56,293.4,18.34,17.95,6.63,19.26,3,1,3,2,7,1.29,0.78,17.77
Jordy Nelson,FA,WR,0.0,16,98,6.12,151,9.44,1519,94.94,15.5,71.0,4.44,80,38.69,10,0.62,13,0.81,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,98,6.12,151,9.44,71.0,4.44,0,0.0,0.0,1.0,229.9,14.37,13.3,8.14,13.53,4,2,0,3,7,1.67,0.78,13.92,278.9,17.43,14.55,8.84,16.55,3,1,4,1,7,1.0,0.78,17.43,327.9,20.49,17.65,9.69,19.57,3,1,3,3,6,1.29,0.6,17.7
Emmanuel Sanders,FA,WR,0.0,16,101,6.31,141,8.81,1404,87.75,13.9,69.0,4.31,48,33.25,11,0.69,9,0.56,8,0.5,44,2.75,5.5,3.0,0.19,0,0.0,109,6.81,149,9.31,72.0,4.5,0,0.0,0.0,1.0,200.8,12.55,10.75,6.76,12.38,2,4,3,3,4,0.78,0.33,11.43,251.3,15.71,14.5,7.49,15.54,2,3,2,2,7,1.29,0.78,17.22,301.8,18.86,18.25,8.36,18.69,2,4,1,3,6,1.29,0.6,17.58
Julio Jones,FA,WR,0.0,15,104,6.93,163,10.87,1593,106.2,15.32,76.0,5.07,79,29.8,25,1.67,6,0.4,1,0.07,1,0.07,1.0,0.0,0.0,0,0.0,105,7.0,164,10.93,76.0,5.07,1,0.07,0.01,1.0,193.4,12.89,10.5,8.55,11.99,4,2,3,3,3,0.67,0.25,11.15,245.4,16.36,14.2,9.5,15.26,3,2,2,5,3,1.14,0.25,16.83,297.4,19.83,17.7,10.5,18.56,4,1,2,4,4,1.14,0.36,17.14
Alshon Jeffery,FA,WR,0.0,16,85,5.31,145,9.06,1133,70.81,13.33,60.0,3.75,74,28.69,11,0.69,10,0.62,6,0.38,33,2.06,5.5,1.0,0.06,0,0.0,91,5.69,151,9.44,61.0,3.81,0,0.0,0.0,1.0,176.6,11.04,11.85,5.41,11.51,3,3,1,5,4,1.29,0.33,11.89,219.1,13.69,15.1,6.45,14.07,3,3,1,5,4,1.29,0.33,16.13,261.6,16.35,17.35,7.54,16.62,3,3,1,5,4,1.29,0.33,16.14
T.Y. Hilton,FA,WR,0.0,15,82,5.47,131,8.73,1345,89.67,16.4,63.0,4.2,73,31.07,8,0.53,7,0.47,2,0.13,20,1.33,10.0,1.0,0.07,0,0.0,84,5.6,133,8.87,64.0,4.27,1,0.07,0.01,1.0,176.5,11.77,10.7,8.41,10.99,5,1,3,2,4,0.67,0.36,10.75,217.5,14.5,14.0,9.3,13.59,4,2,2,3,4,0.88,0.36,15.41,258.5,17.23,17.0,10.28,16.22,4,2,1,4,4,1.14,0.36,15.72
