Player,TEAM,POS,DPCHT,G,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_LG,rec_LG_mean,rec_20,rec_20_mean,rec_TD,rec_TD_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_TD,rush_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Calvin Johnson,FA,WR,0.0,16,96,6.0,158,9.88,1681,105.06,17.51,77.0,4.81,73,38.0,0,0.0,16,1.0,1,0.06,11,0.69,11.0,0.0,0.0,0,0.0,97,6.06,159,9.94,77.0,4.81,1,0.06,0.01,1.0,263.2,16.45,16.85,8.37,15.38,2,1,2,1,10,2.2,1.67,16.98,311.2,19.45,19.1,9.12,18.32,1,2,2,2,9,2.2,1.29,21.24,359.2,22.45,21.35,9.93,21.31,1,0,4,3,8,2.2,1.0,20.74
Wes Welker,FA,WR,0.0,16,122,7.62,173,10.81,1569,98.06,12.86,77.0,4.81,99,30.88,0,0.0,9,0.56,4,0.25,30,1.88,7.5,2.0,0.12,0,0.0,126,7.88,177,11.06,79.0,4.94,0,0.0,0.0,1.0,213.9,13.37,11.7,9.51,12.1,5,1,1,5,4,1.29,0.33,12.24,274.9,17.18,15.7,10.82,15.51,5,0,1,3,7,1.67,0.78,18.3,335.9,20.99,19.5,12.21,18.92,3,2,1,2,8,1.67,1.0,18.89
Greg Jennings,FA,WR,0.0,13,67,5.15,101,7.77,949,73.0,14.16,43.0,3.31,79,30.23,0,0.0,9,0.69,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,67,5.15,101,7.77,43.0,3.31,0,0.0,0.0,1.0,148.9,11.45,11.9,5.56,11.86,2,1,2,5,3,1.6,0.3,12.04,182.4,14.03,15.9,6.4,14.44,2,0,3,4,4,1.6,0.44,16.48,215.9,16.61,18.2,7.32,17.01,2,1,2,3,5,1.6,0.62,16.94
Roddy White,FA,WR,0.0,16,100,6.25,180,11.25,1296,81.0,12.96,77.0,4.81,43,23.5,0,0.0,8,0.5,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,100,6.25,180,11.25,77.0,4.81,0,0.0,0.0,1.0,177.6,11.1,11.05,5.59,11.48,3,4,0,7,2,1.29,0.14,11.52,227.6,14.22,13.4,6.66,14.5,2,4,2,2,6,1.0,0.6,16.37,277.6,17.35,15.65,7.82,17.48,2,3,3,2,6,1.0,0.6,16.06
Jordy Nelson,FA,WR,0.0,16,68,4.25,96,6.0,1263,78.94,18.57,47.0,2.94,93,40.81,0,0.0,15,0.94,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,68,4.25,96,6.0,47.0,2.94,0,0.0,0.0,1.0,216.3,13.52,14.25,9.08,12.38,5,0,1,3,7,1.67,0.78,13.5,250.3,15.64,16.15,9.79,14.48,5,0,1,5,5,1.67,0.45,16.27,284.3,17.77,17.75,10.56,16.61,5,0,2,4,5,1.29,0.45,16.08
Victor Cruz,FA,WR,0.0,16,82,5.12,131,8.19,1536,96.0,18.73,59.0,3.69,99,40.06,0,0.0,9,0.56,1,0.06,3,0.19,3.0,0.0,0.0,0,0.0,83,5.19,132,8.25,59.0,3.69,1,0.06,0.01,1.0,205.9,12.87,10.85,8.97,11.82,4,2,2,1,7,1.0,0.78,11.72,246.9,15.43,14.1,9.69,14.32,4,1,3,1,7,1.0,0.78,15.87,287.9,17.99,17.35,10.51,16.84,4,0,3,2,7,1.29,0.78,16.52
Percy Harvin,FA,WR,0.0,16,87,5.44,122,7.62,967,60.44,11.11,45.0,2.81,52,21.12,0,0.0,6,0.38,52,3.25,345,21.56,6.63,15.0,0.94,2,0.12,139,8.69,174,10.88,60.0,3.75,2,0.12,0.01,1.0,175.2,10.95,9.85,7.72,10.44,4,3,2,1,6,0.78,0.6,10.71,218.7,13.67,12.6,8.81,12.99,4,2,2,2,6,1.0,0.6,14.88,262.2,16.39,15.5,9.98,15.54,4,1,4,1,6,0.78,0.6,15.01
Larry Fitzgerald,FA,WR,0.0,16,80,5.0,154,9.62,1411,88.19,17.64,61.0,3.81,73,37.81,0,0.0,8,0.5,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,80,5.0,154,9.62,61.0,3.81,0,0.0,0.0,1.0,189.1,11.82,10.15,6.24,11.89,5,1,4,2,4,0.6,0.33,10.87,229.1,14.32,11.95,6.99,14.42,4,2,3,2,5,0.78,0.45,14.79,269.1,16.82,13.7,7.8,16.96,4,3,2,2,5,0.78,0.45,14.6
Julio Jones,FA,WR,0.0,13,54,4.15,95,7.31,959,73.77,17.76,34.0,2.62,80,35.46,0,0.0,8,0.62,6,0.46,56,4.31,9.33,4.0,0.31,0,0.0,60,4.62,101,7.77,38.0,2.92,1,0.08,0.02,1.0,147.5,11.35,10.6,8.92,10.44,4,2,1,1,5,0.86,0.62,10.79,174.5,13.42,13.6,9.53,12.51,4,2,0,2,5,1.17,0.62,14.5,201.5,15.5,16.6,10.32,14.57,4,2,0,2,5,1.17,0.62,15.06
Mike Wallace,FA,WR,0.0,16,72,4.5,113,7.06,1193,74.56,16.57,54.0,3.38,95,36.25,2,0.12,8,0.5,5,0.31,57,3.56,11.4,4.0,0.25,0,0.0,77,4.81,118,7.38,58.0,3.62,1,0.06,0.01,1.0,171.0,10.69,9.6,5.71,10.99,2,6,2,1,5,0.6,0.45,10.19,207.0,12.94,12.15,6.14,13.46,2,5,2,3,4,0.78,0.33,14.04,243.0,15.19,14.65,6.7,15.9,2,4,4,2,4,0.6,0.33,14.05
