Player,TEAM,POS,DPCHT,G,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_LG,rec_LG_mean,rec_20,rec_20_mean,rec_TD,rec_TD_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_TD,rush_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Davante Adams,NYJ,WR,1.0,14.53,112.05,7.69,153.84,10.59,1379.42,94.46,12.28,74.21,5.08,57.84,29.94,17.21,1.18,11.95,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.05,7.69,153.84,10.59,74.21,5.08,0.53,0.04,0.01,1.0,208.99,14.32,13.07,7.9,13.55,3.68,0.95,2.0,1.68,6.21,1.25,0.81,13.69,265.02,18.17,16.99,8.91,17.2,3.21,1.42,0.79,2.89,6.21,1.82,0.81,19.57,321.05,22.01,20.61,9.99,20.85,2.21,1.95,1.26,2.68,6.42,1.82,0.85,19.98,3,15.55,264.29,2.0
Cooper Kupp,LAR,WR,1.0,16.16,117.53,7.21,157.84,9.7,1474.26,90.03,12.31,67.11,4.1,59.21,30.79,22.42,1.36,10.63,0.64,3.58,0.22,19.79,1.25,5.16,1.42,0.09,0.0,0.0,121.11,7.43,161.42,9.92,68.53,4.19,0.32,0.02,0.0,1.0,213.51,12.98,12.54,6.18,13.03,4.58,1.11,2.37,1.53,6.58,1.38,0.98,13.19,272.27,16.59,15.96,6.87,16.76,3.95,1.26,1.11,2.95,6.89,3.83,1.01,18.84,331.04,20.2,18.93,7.67,20.5,2.42,2.05,1.84,1.68,8.16,3.83,1.71,19.75,3,15.24,259.02,3.0
Justin Jefferson,MIN,WR,1.0,16.6,100.0,6.01,150.2,9.02,1529.6,92.04,15.34,68.2,4.09,62.0,31.42,25.4,1.53,8.8,0.53,4.0,0.23,9.2,0.54,2.2,0.6,0.04,0.0,0.0,104.0,6.25,154.2,9.26,68.8,4.13,0.6,0.04,0.01,1.0,207.92,12.5,11.64,7.25,12.15,4.2,1.6,1.4,5.4,4.0,1.41,0.32,12.07,257.92,15.51,14.7,8.1,15.1,3.6,2.2,1.4,4.8,4.6,1.41,0.38,16.61,307.92,18.52,18.06,9.03,18.05,3.0,1.8,2.6,4.2,5.0,1.26,0.43,17.06,2,14.34,243.74,6.0
Chris Godwin,TB,WR,1.0,13.37,85.05,6.32,112.16,8.33,1068.37,79.47,12.68,52.89,3.94,50.63,26.85,16.47,1.22,6.47,0.49,2.11,0.15,11.63,0.83,4.17,1.89,0.14,0.47,0.03,87.16,6.47,114.26,8.48,54.79,4.07,0.95,0.07,0.01,1.0,148.21,11.06,10.74,6.45,11.04,3.95,1.53,2.05,3.26,2.58,0.79,0.24,10.7,190.74,14.22,13.8,7.23,14.21,3.95,1.53,1.26,3.05,3.58,1.01,0.37,15.53,233.26,17.38,16.73,8.15,17.35,3.47,1.11,2.63,2.58,3.58,0.86,0.37,15.81,3,11.83,201.17,9.0
Deebo Samuel Sr.,SF,WR,1.0,12.95,58.89,4.57,88.26,6.7,957.84,70.49,15.35,36.89,2.82,59.21,30.64,17.47,1.31,3.79,0.27,33.42,2.3,214.58,14.21,6.35,11.32,0.73,4.42,0.28,92.32,6.87,121.68,9.01,48.21,3.55,1.16,0.07,0.01,0.95,166.98,11.76,11.74,5.81,11.93,3.47,0.32,1.32,3.63,4.21,2.28,0.51,11.94,196.43,14.05,13.8,6.71,14.23,3.16,0.63,1.79,3.53,3.84,1.65,0.44,15.13,225.87,16.33,16.16,7.73,16.51,3.16,1.32,2.26,2.84,3.37,0.99,0.35,14.73,3,11.17,189.85,13.0
Tyreek Hill,MIA,WR,1.0,15.32,92.26,5.94,136.68,8.83,1170.89,76.47,13.04,61.74,3.97,71.21,27.24,14.79,0.97,10.47,0.69,10.05,0.67,89.16,5.67,8.65,3.68,0.23,0.63,0.04,102.32,6.61,146.74,9.5,65.42,4.21,0.47,0.03,0.0,1.0,191.69,12.55,10.04,9.55,11.35,5.26,1.89,1.42,1.32,5.42,0.88,0.58,11.03,237.82,15.52,12.12,10.8,14.02,4.79,2.16,1.47,1.47,5.42,0.84,0.58,15.03,283.95,18.49,14.65,12.13,16.71,4.79,1.37,2.16,1.42,5.58,0.91,0.58,15.05,3,14.52,246.87,5.0
Keenan Allen,CHI,WR,1.0,15.37,103.68,6.76,152.16,9.92,1104.74,71.84,10.65,63.79,4.16,38.21,21.94,12.0,0.78,6.63,0.44,0.95,0.06,3.05,0.19,0.81,0.21,0.01,0.0,0.0,104.63,6.82,153.11,9.98,64.0,4.17,0.63,0.04,0.01,1.0,150.88,9.84,9.94,4.92,10.59,4.63,1.68,4.68,2.53,1.84,0.44,0.15,9.92,202.73,13.22,13.04,5.87,14.08,3.89,2.05,2.74,4.63,2.05,0.77,0.17,14.97,254.57,16.6,16.18,7.0,17.47,4.21,1.53,2.26,4.21,3.16,0.92,0.29,15.75,3,10.51,178.6,16.0
DeAndre Hopkins,KC,WR,1.0,12.95,78.11,5.72,112.42,8.29,960.53,71.22,12.67,53.16,3.95,54.05,26.47,12.05,0.89,7.16,0.6,0.74,0.05,4.11,0.27,2.21,0.42,0.03,0.0,0.0,78.84,5.77,113.16,8.34,53.58,3.98,0.63,0.04,0.01,0.98,139.24,10.72,10.88,5.98,10.9,4.63,1.21,1.89,2.47,2.74,0.66,0.27,10.44,178.29,13.57,13.4,6.56,13.88,4.74,0.68,1.32,2.53,3.68,0.91,0.38,14.92,217.35,16.44,16.09,7.25,16.86,4.89,0.53,1.11,2.68,3.74,0.96,0.4,15.22,3,10.05,170.78,20.0
Stefon Diggs,HOU,WR,3.0,16.26,102.16,6.26,149.89,9.17,1302.89,80.29,13.23,62.95,3.85,60.16,28.35,16.21,1.01,8.53,0.52,1.37,0.09,13.16,0.88,2.88,0.63,0.04,0.0,0.0,103.53,6.35,151.26,9.26,63.58,3.89,0.63,0.04,0.01,1.0,181.5,11.16,9.98,6.19,11.37,4.26,2.42,3.63,4.11,1.84,0.58,0.13,10.3,232.58,14.29,12.56,6.73,14.67,3.79,2.63,3.16,3.26,3.42,0.72,0.27,14.89,283.66,17.42,15.85,7.38,17.97,3.53,1.16,4.58,3.11,3.89,0.81,0.32,15.69,3,14.88,252.97,4.0
Michael Thomas,FA,WR,0.0,10.6,83.6,7.15,107.0,9.34,952.8,80.67,11.2,51.4,4.42,34.0,21.67,9.8,0.85,3.6,0.22,1.0,0.11,-3.0,-0.14,-3.0,0.0,0.0,0.0,0.0,84.6,7.27,108.0,9.45,51.4,4.42,0.0,0.0,0.0,0.9,116.58,9.4,8.72,4.75,9.96,3.2,0.6,2.4,1.6,2.8,0.88,0.31,8.86,158.38,12.98,12.3,5.98,13.43,3.2,0.0,1.0,3.2,3.2,1.97,0.4,14.29,200.18,16.56,15.6,7.26,16.85,2.8,0.4,1.0,2.4,4.0,1.97,0.67,14.73,3,11.36,193.07,10.0
Ja'Marr Chase,CIN,WR,1.0,17.0,81.0,4.76,128.0,7.53,1455.0,85.59,17.96,56.0,3.29,82.0,35.94,22.0,1.29,13.0,0.76,7.0,0.41,21.0,1.24,3.0,2.0,0.12,0.0,0.0,88.0,5.18,135.0,7.94,58.0,3.41,1.0,0.06,0.01,1.0,223.6,13.15,10.1,10.94,11.5,5.0,1.0,4.0,1.0,6.0,0.7,0.55,10.83,264.1,15.54,11.7,11.93,13.68,5.0,3.0,2.0,1.0,6.0,0.7,0.55,14.05,304.6,17.92,13.7,12.96,15.91,5.0,5.0,0.0,2.0,5.0,0.7,0.42,13.91,1,15.96,271.33,1.0
Mike Evans,TB,WR,3.0,15.37,71.26,4.66,113.26,7.43,1051.53,69.24,14.8,55.26,3.62,51.68,27.25,19.37,1.26,12.42,0.8,0.47,0.03,4.74,0.29,4.74,0.47,0.03,0.0,0.0,71.74,4.69,113.74,7.47,55.74,3.65,0.0,0.0,0.0,1.0,180.57,11.79,10.28,8.3,11.08,4.84,0.89,3.16,2.68,3.79,0.74,0.32,10.49,216.21,14.12,12.65,9.24,13.3,4.84,0.89,3.68,2.47,3.47,0.64,0.29,14.03,251.84,16.45,14.95,10.26,15.54,4.84,1.42,3.16,2.0,3.95,0.64,0.35,14.08,3,12.74,216.64,7.0
Robert Woods,HOU,WR,2.0,12.47,68.68,5.41,102.68,8.13,797.68,63.65,11.79,42.0,3.46,41.05,22.18,10.21,0.84,4.21,0.36,14.95,1.13,94.95,7.1,6.19,4.37,0.3,1.32,0.1,83.63,6.54,117.63,9.26,46.37,3.76,0.32,0.02,0.0,0.97,122.74,9.92,9.12,4.93,10.65,3.89,3.0,1.68,1.84,2.05,0.43,0.18,9.24,157.08,12.62,12.17,5.82,13.36,3.63,1.74,3.21,1.05,2.84,0.43,0.29,13.48,191.42,15.33,15.02,6.93,15.97,4.42,1.26,2.0,3.05,1.74,0.61,0.15,13.72,3,9.56,162.44,27.0
Jaylen Waddle,MIA,WR,2.0,16.0,104.0,6.5,140.0,8.75,1015.0,63.44,9.76,59.0,3.69,57.0,23.12,8.0,0.5,6.0,0.38,2.0,0.12,3.0,0.19,1.5,1.0,0.06,1.0,0.06,106.0,6.62,142.0,8.88,60.0,3.75,1.0,0.06,0.01,1.0,141.8,8.86,8.3,5.5,9.2,7.0,4.0,0.0,2.0,3.0,0.45,0.23,8.73,193.8,12.11,11.8,6.52,12.41,6.0,1.0,5.0,1.0,3.0,0.33,0.23,13.16,245.8,15.36,15.7,7.7,15.54,6.0,1.0,3.0,3.0,3.0,0.6,0.23,14.36,1,11.11,188.84,15.0
Adam Thielen,CAR,WR,1.0,13.0,61.42,4.63,89.21,6.75,724.0,54.73,12.01,37.74,2.82,41.95,21.48,11.79,0.91,10.42,0.78,2.26,0.19,6.95,0.51,2.84,0.53,0.04,0.21,0.02,63.68,4.81,91.47,6.93,38.26,2.86,0.0,0.0,0.0,0.99,137.52,10.41,9.88,7.3,10.08,5.58,0.74,1.47,1.47,3.74,0.66,0.41,9.83,168.23,12.72,12.09,8.46,12.23,5.58,0.74,1.47,1.32,3.89,0.66,0.42,13.01,198.94,15.04,14.3,9.66,14.38,5.32,1.32,1.16,1.53,3.68,0.66,0.39,13.29,3,8.64,146.94,31.0
Calvin Ridley,TEN,WR,1.0,9.84,56.37,5.85,89.37,9.44,749.32,69.57,12.01,38.0,3.65,37.89,22.34,11.21,0.96,5.26,0.49,2.0,0.14,7.47,0.57,3.64,0.74,0.05,0.0,0.0,58.37,5.99,91.37,9.58,38.74,3.7,0.32,0.02,0.0,0.87,107.68,10.0,9.95,4.89,10.78,2.74,1.26,1.58,2.37,1.89,0.66,0.18,9.03,135.86,12.93,12.45,5.47,14.07,2.26,1.74,1.58,2.37,1.89,0.66,0.18,12.86,164.05,15.85,15.59,6.18,17.3,2.26,1.0,2.63,2.05,1.89,0.58,0.18,13.11,3,9.78,166.29,23.0
DJ Moore,CHI,WR,2.0,15.95,83.21,5.2,142.89,8.92,1172.16,73.84,14.45,58.42,3.67,64.63,28.38,16.32,1.03,4.0,0.26,5.68,0.35,38.11,2.36,7.72,2.84,0.18,0.0,0.0,88.89,5.55,148.58,9.27,61.26,3.84,0.68,0.04,0.01,1.0,144.61,9.1,8.31,5.39,9.5,6.84,1.68,3.05,3.05,1.32,0.42,0.09,8.67,186.21,11.71,11.32,5.93,12.27,6.16,2.16,3.47,3.16,1.0,0.39,0.07,12.85,227.82,14.31,14.1,6.56,15.06,6.16,1.37,3.63,3.0,1.79,0.5,0.12,13.32,3,9.79,166.4,22.0
