Player,TEAM,POS,DPCHT,G,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_LG,rec_LG_mean,rec_20,rec_20_mean,rec_TD,rec_TD_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_TD,rush_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Kendrick Bourne,NE,WR,2.0,12.74,41.25,3.53,58.17,5.06,518.62,42.75,12.35,21.62,1.74,46.18,21.47,6.45,0.53,3.11,0.29,4.29,0.29,35.54,2.24,5.39,2.26,0.16,0.0,0.0,45.54,3.81,62.46,5.34,23.88,1.9,0.6,0.06,0.01,0.95,74.03,6.22,4.82,5.0,6.59,9.2,0.55,1.25,0.49,1.25,0.16,0.12,5.12,94.65,7.98,6.36,5.68,8.44,9.2,0.25,1.51,0.54,1.25,0.2,0.12,7.39,115.28,9.75,8.05,6.47,10.27,9.32,0.54,0.68,0.95,1.25,0.32,0.12,7.86,5,5.31,90.3,67.0
Josh Downs,IND,WR,2.0,17.0,68.0,4.0,98.0,5.76,771.0,45.35,11.34,30.0,1.76,59.0,21.82,10.0,0.59,2.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,4.0,98.0,5.76,30.0,1.76,0.0,0.0,0.0,1.0,89.1,5.24,4.0,4.12,5.85,13.0,2.0,1.0,0.0,1.0,0.06,0.06,4.69,123.1,7.24,6.3,4.65,8.07,12.0,2.0,2.0,0.0,1.0,0.06,0.06,7.38,157.1,9.24,7.7,5.32,10.25,12.0,0.0,4.0,0.0,1.0,0.06,0.06,7.93,1,8.05,136.86,34.0
Rashid Shaheed,NO,WR,2.0,14.4,38.8,2.66,58.6,3.95,626.6,43.23,16.35,23.4,1.61,62.0,25.82,9.6,0.65,3.8,0.25,5.8,0.4,45.0,3.29,8.87,1.4,0.1,0.4,0.03,44.6,3.05,64.4,4.34,24.8,1.72,0.6,0.04,0.01,1.0,94.76,6.53,4.07,5.77,6.7,8.8,1.4,0.4,2.2,1.6,0.35,0.12,5.34,114.16,7.86,5.69,6.03,8.22,8.8,1.4,0.8,2.8,0.6,0.31,0.04,7.29,133.56,9.18,7.34,6.41,9.73,9.2,1.4,1.0,2.2,0.6,0.23,0.04,7.62,2,7.95,135.11,38.0
Darnell Mooney,ATL,WR,3.0,14.38,46.42,3.22,80.14,5.5,580.92,40.19,12.63,26.95,1.84,50.88,20.78,8.17,0.57,2.2,0.15,2.71,0.17,11.0,0.69,3.19,0.49,0.03,0.18,0.01,49.12,3.39,82.85,5.68,27.45,1.87,0.0,0.0,0.0,1.0,73.75,5.08,4.32,3.82,5.73,10.26,1.22,1.14,1.4,0.37,0.15,0.02,4.8,96.95,6.69,5.88,4.52,7.44,9.89,1.17,1.69,1.08,0.55,0.15,0.04,7.06,120.16,8.3,7.42,5.31,9.13,9.83,1.23,1.69,1.26,0.37,0.15,0.02,7.4,4,4.6,78.28,81.0
Odell Beckham Jr.,MIA,WR,3.0,12.81,35.26,2.8,65.02,5.17,515.98,40.74,14.75,25.3,2.02,50.4,22.45,8.04,0.61,3.51,0.29,1.02,0.11,15.83,2.01,5.87,0.6,0.07,0.17,0.02,36.28,2.91,66.04,5.28,25.89,2.08,0.57,0.04,0.02,0.97,74.24,6.08,4.36,5.88,6.22,8.38,0.77,1.66,1.26,0.74,0.21,0.07,4.94,91.86,7.48,5.73,6.46,7.7,8.38,1.34,1.09,1.83,0.17,0.21,0.03,7.02,109.49,8.88,7.05,7.08,9.19,8.64,1.34,1.57,1.09,0.17,0.12,0.03,6.95,5,5.06,86.06,72.0
Darius Slayton,NYG,WR,2.0,15.03,44.46,2.95,75.0,5.01,675.35,44.83,15.01,27.86,1.86,61.26,23.97,9.86,0.66,2.95,0.19,0.43,0.03,-2.52,-0.19,-2.46,0.0,0.0,0.0,0.0,44.89,2.99,75.43,5.03,27.86,1.86,0.58,0.04,0.02,1.0,83.84,5.53,4.0,4.87,5.91,10.03,1.68,0.86,1.23,1.23,0.2,0.08,4.84,106.07,7.01,5.67,5.35,7.53,10.15,1.28,1.14,1.92,0.54,0.2,0.03,7.01,128.3,8.48,7.36,5.9,9.16,9.92,1.51,1.42,2.06,0.12,0.17,0.01,7.34,5,4.97,84.5,74.0
Allen Lazard,NYJ,WR,3.0,13.78,37.62,2.72,64.78,4.66,497.62,36.09,13.3,27.52,1.99,45.83,18.94,7.89,0.57,3.92,0.28,1.35,0.1,8.0,0.63,3.02,0.49,0.04,0.0,0.0,38.97,2.82,66.14,4.76,28.02,2.02,0.0,0.0,0.0,1.0,74.1,5.37,4.38,4.33,5.86,9.49,1.05,0.83,1.83,0.58,0.24,0.05,4.91,92.91,6.73,5.64,4.83,7.39,9.4,1.14,1.02,1.92,0.31,0.21,0.03,6.97,111.72,8.09,7.14,5.39,8.92,8.85,1.88,1.43,1.32,0.31,0.15,0.03,7.09,5,4.28,72.81,85.0
DJ Chark Jr.,LAC,WR,2.0,11.43,30.66,2.66,57.32,5.37,472.42,43.34,16.56,21.63,2.0,50.2,23.35,8.02,0.76,3.89,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.66,2.66,57.32,5.37,21.63,2.0,0.42,0.03,0.01,0.92,69.76,6.59,5.3,5.92,6.7,7.4,0.94,0.88,1.28,0.94,0.3,0.08,5.05,85.1,7.91,6.63,6.63,8.06,7.82,0.52,1.55,0.6,0.94,0.2,0.08,6.93,100.43,9.24,7.85,7.38,9.44,8.22,0.31,1.37,0.6,0.94,0.2,0.08,6.88,5,3.56,60.57,104.0
Zay Jones,ARI,WR,1.0,12.91,47.23,3.67,75.48,6.06,481.0,36.97,10.2,24.09,1.81,43.78,15.67,4.78,0.36,2.52,0.2,1.48,0.09,5.54,0.35,1.52,0.28,0.02,0.0,0.0,48.71,3.77,76.95,6.16,24.37,1.83,0.18,0.01,0.0,0.97,64.12,4.94,3.55,4.6,5.31,9.23,1.78,0.18,0.88,0.83,0.15,0.06,4.3,87.74,6.78,5.81,5.35,7.22,8.75,2.17,0.28,0.6,1.11,0.15,0.09,6.84,111.36,8.62,8.1,6.22,9.09,8.34,2.58,0.28,0.6,1.11,0.15,0.09,7.54,5,2.95,50.09,119.0
DeMario Douglas,NE,WR,1.0,14.0,49.0,3.5,79.0,5.64,561.0,40.07,11.45,26.0,1.86,42.0,21.21,6.0,0.43,0.0,0.0,8.0,0.57,41.0,2.93,5.12,2.0,0.14,0.0,0.0,57.0,4.07,87.0,6.21,28.0,2.0,1.0,0.07,0.02,1.0,58.2,4.16,4.15,2.45,5.28,11.0,3.0,0.0,0.0,0.0,0.0,0.0,4.4,82.7,5.91,5.65,3.13,7.27,11.0,2.0,1.0,0.0,0.0,0.0,0.0,6.79,107.2,7.66,7.6,3.88,9.19,9.0,4.0,1.0,0.0,0.0,0.0,0.0,7.34,1,4.59,78.04,83.0
