Player,TEAM,POS,DPCHT,G,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_LG,rec_LG_mean,rec_20,rec_20_mean,rec_TD,rec_TD_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_TD,rush_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Antonio Brown,FA,WR,0.0,14,101,7.21,163,11.64,1533,109.5,15.18,71.0,5.07,57,34.86,14,1.0,9,0.64,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,101,7.21,163,11.64,71.0,5.07,0,0.0,0.0,1.0,209.3,14.95,15.9,9.61,13.5,3,2,0,1,8,1.8,1.33,15.63,259.8,18.56,20.4,10.98,16.69,3,2,0,1,8,1.8,1.33,21.24,310.3,22.16,24.9,12.42,19.89,3,2,0,1,8,1.8,1.33,21.79
DeAndre Hopkins,TEN,WR,1.0,15,96,6.4,174,11.6,1378,91.87,14.35,69.0,4.6,72,31.2,13,0.87,13,0.87,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,96,6.4,174,11.6,69.0,4.6,1,0.07,0.01,1.0,213.8,14.25,12.5,6.52,14.18,0,2,2,6,5,2.75,0.5,14.32,261.8,17.45,15.6,7.01,17.56,0,1,3,6,5,2.75,0.5,19.22,309.8,20.65,18.1,7.65,20.92,0,1,2,7,5,4.0,0.5,19.68
Davante Adams,LV,WR,1.0,14,74,5.29,117,8.36,885,63.21,11.96,45.0,3.21,55,23.93,3,0.21,10,0.71,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,74,5.29,117,8.36,45.0,3.21,0,0.0,0.0,1.0,148.5,10.61,11.55,5.89,10.83,5,1,0,3,5,1.33,0.56,11.65,185.5,13.25,14.05,6.86,13.4,4,2,0,2,6,1.33,0.75,15.45,222.5,15.89,16.55,7.9,15.97,5,0,1,3,5,1.33,0.56,15.71
Jarvis Landry,FA,WR,0.0,16,112,7.0,161,10.06,987,61.69,8.81,60.0,3.75,49,19.25,5,0.31,9,0.56,1,0.06,-7,-0.44,-7.0,-0.0,-0.0,0,0.0,113,7.06,162,10.12,60.0,3.75,2,0.12,0.02,1.0,148.0,9.25,9.55,4.43,10.13,4,3,4,2,3,0.45,0.23,9.73,204.0,12.75,12.8,4.86,14.06,4,1,3,5,3,1.0,0.23,14.93,260.0,16.25,15.3,5.49,17.89,2,3,0,5,6,2.2,0.6,16.64
Michael Thomas,FA,WR,0.0,16,104,6.5,149,9.31,1245,77.81,11.97,70.0,4.38,43,25.56,17,1.06,5,0.31,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,104,6.5,149,9.31,70.0,4.38,0,0.0,0.0,1.0,154.5,9.66,9.0,4.55,10.51,3,3,4,2,4,0.6,0.33,9.83,206.5,12.91,11.9,5.32,13.91,3,1,6,2,4,0.6,0.33,14.54,258.5,16.16,15.15,6.16,17.28,2,2,3,4,5,1.29,0.45,15.64
Keenan Allen,CHI,WR,1.0,16,102,6.38,159,9.94,1393,87.06,13.66,74.0,4.62,51,25.81,13,0.81,6,0.38,2,0.12,9,0.56,4.5,0.0,0.0,0,0.0,104,6.5,161,10.06,74.0,4.62,0,0.0,0.0,1.0,176.2,11.01,8.1,7.29,10.66,4,4,2,2,4,0.6,0.33,9.6,227.2,14.2,10.4,8.58,13.58,3,5,1,3,4,0.78,0.33,14.16,278.2,17.39,12.9,9.91,16.51,3,5,1,3,4,0.78,0.33,14.02
Tyreek Hill,MIA,WR,2.0,15,75,5.0,105,7.0,1183,78.87,15.77,41.0,2.73,79,41.07,1,0.07,7,0.47,17,1.13,59,3.93,3.47,3.0,0.2,0,0.0,92,6.13,122,8.13,44.0,2.93,0,0.0,0.0,1.0,164.2,10.95,8.4,7.92,10.37,5,2,1,2,5,0.88,0.5,9.81,201.7,13.45,11.9,8.24,12.99,4,3,1,2,5,0.88,0.5,13.73,239.2,15.95,15.3,8.62,15.68,4,2,1,3,5,1.14,0.5,14.89
Larry Fitzgerald,FA,WR,0.0,16,109,6.81,161,10.06,1156,72.25,10.61,66.0,4.12,37,21.38,14,0.88,6,0.38,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,109,6.81,161,10.06,66.0,4.12,1,0.06,0.01,1.0,152.4,9.52,7.2,6.22,9.59,7,2,1,1,5,0.6,0.45,8.94,206.9,12.93,9.95,7.62,12.74,4,4,2,1,5,0.6,0.45,13.36,261.4,16.34,13.3,9.06,15.87,4,3,3,0,6,0.6,0.6,14.03
Adam Thielen,CAR,WR,1.0,16,91,5.69,142,8.88,1276,79.75,14.02,59.0,3.69,65,29.69,12,0.75,4,0.25,1,0.06,11,0.69,11.0,1.0,0.06,0,0.0,92,5.75,143,8.94,60.0,3.75,2,0.12,0.02,1.0,148.7,9.29,7.5,6.51,9.25,7,1,3,0,5,0.45,0.45,8.68,194.2,12.14,10.7,7.15,12.15,7,1,1,2,5,0.78,0.45,13.28,239.7,14.98,13.45,7.86,15.08,7,1,1,2,5,0.78,0.45,13.67
Mike Evans,TB,WR,1.0,15,71,4.73,136,9.07,1001,66.73,14.1,55.0,3.67,42,22.87,4,0.27,5,0.33,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,71,4.73,136,9.07,55.0,3.67,0,0.0,0.0,1.0,132.1,8.81,7.8,4.81,9.45,5,2,2,3,3,0.67,0.25,8.87,167.6,11.17,10.8,5.42,11.99,4,2,3,3,3,0.67,0.25,12.91,203.1,13.54,13.8,6.11,14.51,3,2,4,4,2,0.67,0.15,13.17
