Player,TEAM,POS,DPCHT,G,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_LG,rec_LG_mean,rec_20,rec_20_mean,rec_TD,rec_TD_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_TD,rush_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Davante Adams,NYJ,WR,1.0,13.2,102.2,7.69,140.2,10.62,1223.2,92.12,11.97,65.4,4.93,56.8,27.97,15.6,1.17,12.8,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.2,7.69,140.2,10.62,65.4,4.93,1.0,0.07,0.01,1.0,197.92,14.76,14.71,8.1,13.86,3.4,0.0,2.0,1.4,6.4,1.48,1.0,14.75,249.02,18.6,18.55,9.13,17.49,3.4,0.0,0.6,2.8,6.4,2.3,1.0,20.63,300.12,22.45,22.05,10.27,21.12,2.4,1.0,0.6,2.4,6.8,2.3,1.08,21.1,2,14.91,253.43,2.0
DeAndre Hopkins,KC,WR,1.0,15.6,110.6,7.09,156.0,10.0,1310.2,83.83,11.82,72.2,4.63,53.2,27.34,16.6,1.06,6.4,0.42,1.4,0.09,7.8,0.52,4.2,0.8,0.05,0.0,0.0,112.0,7.18,157.4,10.09,73.0,4.68,1.2,0.07,0.01,1.0,169.88,10.89,11.44,6.24,10.96,5.2,1.4,1.8,3.8,3.4,0.87,0.28,11.22,225.18,14.43,14.84,6.96,14.55,5.4,0.4,1.6,3.0,5.2,1.13,0.5,16.77,280.48,17.98,18.6,7.83,18.12,4.8,1.0,1.2,2.4,6.2,1.23,0.67,17.59,2,12.65,215.0,6.0
Tyreek Hill,MIA,WR,1.0,14.26,77.84,5.42,120.89,8.41,1187.37,82.39,15.21,51.95,3.62,69.32,33.0,18.63,1.28,11.84,0.81,13.32,0.91,97.32,6.48,6.83,4.37,0.29,1.16,0.07,91.16,6.33,134.21,9.32,56.32,3.9,0.0,0.0,0.0,1.0,206.47,14.24,12.05,9.35,12.92,3.26,2.05,1.42,1.89,5.63,1.15,0.67,12.73,245.39,16.95,14.26,10.3,15.46,3.05,1.95,2.21,1.21,5.84,0.97,0.7,16.5,284.31,19.66,16.59,11.35,18.01,3.05,1.26,2.74,1.84,5.37,1.08,0.6,16.47,3,14.34,243.79,3.0
Julio Jones,FA,WR,0.0,12.37,79.21,6.26,117.58,9.12,1158.47,91.99,14.73,58.21,4.57,50.11,29.83,19.26,1.6,5.0,0.39,1.05,0.07,1.58,0.09,0.79,0.21,0.01,0.0,0.0,80.26,6.32,118.63,9.19,58.42,4.58,0.42,0.03,0.0,0.97,145.16,11.49,10.48,6.77,11.37,3.0,1.37,2.89,1.42,3.68,0.75,0.42,10.57,184.77,14.62,14.28,7.79,14.37,2.68,1.16,3.11,1.0,4.42,0.8,0.57,15.66,224.37,17.75,17.54,8.89,17.37,2.26,1.58,2.42,1.68,4.42,1.05,0.57,15.96,3,11.58,196.81,13.0
Brandon Aiyuk,SF,WR,1.0,12.0,60.0,5.0,96.0,8.0,748.0,62.33,12.47,43.0,3.58,49.0,23.0,10.0,0.83,5.0,0.42,6.0,0.5,77.0,6.42,12.83,3.0,0.25,2.0,0.17,66.0,5.5,102.0,8.5,46.0,3.83,0.0,0.0,0.0,1.0,124.5,10.38,11.75,4.93,11.07,4.0,0.0,2.0,5.0,1.0,1.0,0.09,11.1,154.5,12.88,15.35,6.06,13.43,4.0,0.0,2.0,4.0,2.0,1.0,0.2,15.54,184.5,15.38,18.6,7.33,15.74,4.0,1.0,0.0,4.0,3.0,1.4,0.33,16.27,1,9.98,169.67,23.0
Michael Thomas,FA,WR,0.0,11.74,92.32,7.29,115.42,9.31,1048.0,82.17,11.21,56.37,4.48,42.0,22.74,11.32,0.89,4.74,0.29,0.79,0.09,-2.37,-0.11,-2.37,0.0,0.0,0.0,0.0,93.11,7.38,116.21,9.39,56.37,4.48,0.42,0.03,0.0,0.92,132.14,9.93,9.27,5.31,10.28,3.58,0.89,2.11,1.89,3.26,0.91,0.34,9.44,178.3,13.58,13.05,6.59,13.76,3.58,0.42,0.79,3.37,3.58,1.83,0.41,14.93,224.46,17.22,16.43,7.95,17.19,3.05,0.95,0.79,2.53,4.42,1.83,0.65,15.42,3,12.5,212.43,7.0
Stefon Diggs,HOU,WR,2.0,15.47,101.53,6.52,139.68,8.99,1298.89,83.56,13.5,57.84,3.71,62.68,29.66,18.53,1.2,7.58,0.49,4.16,0.27,32.79,2.18,5.63,1.58,0.11,0.0,0.0,105.68,6.79,143.84,9.26,59.42,3.82,0.95,0.06,0.01,1.0,177.17,11.41,10.21,7.5,11.01,3.68,2.63,3.95,2.53,2.68,0.51,0.21,10.28,227.93,14.67,12.86,8.18,14.28,3.89,1.32,3.74,2.68,3.84,0.77,0.34,14.91,278.69,17.93,15.81,8.96,17.57,4.21,0.53,3.74,2.74,4.26,0.91,0.4,15.65,3,15.04,255.76,1.0
Keenan Allen,CHI,WR,1.0,15.05,100.63,6.71,145.32,9.7,1100.32,72.97,10.94,61.84,4.13,38.84,21.48,12.21,0.8,6.95,0.47,3.32,0.21,20.37,1.27,2.96,1.16,0.07,0.0,0.0,103.95,6.92,148.63,9.91,63.0,4.2,1.16,0.08,0.01,1.0,152.81,10.16,9.75,5.87,10.43,5.37,1.32,2.47,3.42,2.47,0.66,0.2,10.06,203.12,13.52,12.83,7.39,13.44,3.84,3.0,1.68,3.53,3.0,0.77,0.25,14.74,253.44,16.88,15.79,9.02,16.42,4.32,2.21,1.47,3.11,3.95,0.88,0.39,15.24,3,11.43,194.23,14.0
A.J. Brown,PHI,WR,1.0,14.8,62.8,4.3,97.2,6.64,1065.4,72.35,17.3,48.6,3.33,80.2,32.3,13.8,0.93,9.8,0.67,1.2,0.08,24.0,1.5,8.0,0.8,0.05,0.4,0.02,64.0,4.38,98.4,6.72,49.4,3.38,0.6,0.04,0.01,1.0,172.54,11.74,10.96,7.52,11.32,5.2,1.4,1.0,1.6,5.6,1.04,0.63,11.29,203.94,13.88,13.43,8.13,13.51,5.2,1.4,1.6,1.6,5.0,0.84,0.52,14.61,235.34,16.04,15.75,8.81,15.73,5.2,1.8,1.6,1.2,5.0,0.78,0.52,14.68,2,11.81,200.71,11.0
Justin Jefferson,MIN,WR,1.0,16.0,88.0,5.5,125.0,7.81,1400.0,87.5,15.91,58.0,3.62,71.0,31.44,23.0,1.44,7.0,0.44,1.0,0.06,2.0,0.12,2.0,0.0,0.0,0.0,0.0,89.0,5.56,126.0,7.88,58.0,3.62,0.0,0.0,0.0,1.0,186.2,11.64,10.35,8.13,10.96,6.0,1.0,2.0,3.0,4.0,0.78,0.33,10.56,230.2,14.39,13.35,9.14,13.55,6.0,1.0,2.0,3.0,4.0,0.78,0.33,14.6,274.2,17.14,16.05,10.21,16.15,6.0,0.0,2.0,3.0,5.0,1.0,0.45,15.21,1,14.2,241.37,4.0
