Player,TEAM,POS,DPCHT,G,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_LG,rec_LG_mean,rec_20,rec_20_mean,rec_TD,rec_TD_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_TD,rush_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Tyreek Hill,MIA,WR,1.0,16,119,7.44,171,10.69,1799,112.44,15.12,83.0,5.19,78,36.5,29,1.81,13,0.81,6,0.38,15,0.94,2.5,2.0,0.12,0,0.0,125,7.81,177,11.06,85.0,5.31,1,0.06,0.01,1.0,257.4,16.09,15.6,8.37,15.04,2,2,2,1,9,1.67,1.29,15.97,316.9,19.81,20.6,8.96,18.74,1,3,1,2,9,2.2,1.29,22.37,376.4,23.52,25.3,9.67,22.48,2,1,2,1,10,2.2,1.67,23.31
Amon-Ra St. Brown,DET,WR,1.0,16,119,7.44,164,10.25,1515,94.69,12.73,75.0,4.69,70,28.94,24,1.5,10,0.62,4,0.25,24,1.5,6.0,2.0,0.12,0,0.0,123,7.69,168,10.5,77.0,4.81,1,0.06,0.01,1.0,211.9,13.24,12.35,5.12,14.0,1,1,5,3,6,1.29,0.6,13.46,271.4,16.96,16.4,5.85,17.85,1,0,2,7,6,4.33,0.6,20.25,330.9,20.68,20.65,6.86,21.53,1,0,2,5,8,4.33,1.0,21.34
CeeDee Lamb,DAL,WR,1.0,17,135,7.94,181,10.65,1749,102.88,12.96,80.0,4.71,92,30.35,29,1.71,12,0.71,14,0.82,113,6.65,8.07,6.0,0.35,2,0.12,149,8.76,195,11.47,86.0,5.06,2,0.12,0.01,1.0,268.2,15.78,13.3,7.61,15.1,2,1,2,5,7,2.4,0.7,15.04,335.7,19.75,16.1,9.15,18.59,2,1,2,4,8,2.4,0.89,20.23,403.2,23.72,19.1,10.76,22.06,2,1,1,5,8,3.25,0.89,20.62
Justin Jefferson,MIN,WR,1.0,10,68,6.8,100,10.0,1074,107.4,15.79,51.0,5.1,52,29.0,25,2.5,5,0.5,1,0.1,-12,-1.2,-12.0,-0.0,-0.0,0,0.0,69,6.9,101,10.1,51.0,5.1,1,0.1,0.01,0.96,134.2,13.42,14.45,7.99,12.69,3,1,0,1,5,1.5,1.0,13.69,168.2,16.82,19.45,9.15,15.83,2,1,1,0,6,1.5,1.5,19.69,202.2,20.22,24.45,10.42,18.96,2,1,1,0,6,1.5,1.5,20.28
Puka Nacua,LAR,WR,1.0,17,105,6.18,160,9.41,1486,87.41,14.15,68.0,4.0,80,30.88,25,1.47,6,0.35,12,0.71,89,5.24,7.42,5.0,0.29,0,0.0,117,6.88,172,10.12,73.0,4.29,0,0.0,0.0,1.0,193.5,11.38,11.9,6.74,11.23,5,1,2,4,5,1.12,0.42,11.86,246.0,14.47,16.2,7.73,14.21,5,1,2,4,5,1.12,0.42,16.91,298.5,17.56,18.7,8.89,17.13,4,2,2,3,6,1.12,0.55,17.06
Keenan Allen,CHI,WR,1.0,13,108,8.31,150,11.54,1243,95.62,11.51,57.0,4.38,42,27.54,19,1.46,7,0.54,2,0.15,6,0.46,3.0,1.0,0.08,0,0.0,110,8.46,152,11.69,58.0,4.46,1,0.08,0.01,1.0,170.9,13.15,8.6,8.55,12.23,2,4,2,1,4,0.62,0.44,10.73,224.9,17.3,11.7,9.98,15.93,1,2,4,1,5,0.86,0.62,16.05,278.9,21.45,15.7,11.61,19.58,1,3,3,0,6,0.86,0.86,17.07
Deebo Samuel Sr.,SF,WR,1.0,15,60,4.0,89,5.93,892,59.47,14.87,34.0,2.27,54,24.8,15,1.0,7,0.47,37,2.47,225,15.0,6.08,13.0,0.87,5,0.33,97,6.47,126,8.4,47.0,3.13,0,0.0,0.0,1.0,183.7,12.25,11.9,9.18,11.19,6,0,1,2,6,1.14,0.67,11.91,213.7,14.25,13.9,9.95,13.13,5,2,0,2,6,1.14,0.67,15.06,243.7,16.25,15.9,10.77,15.11,5,2,1,1,6,0.88,0.67,14.89
Mike Evans,TB,WR,1.0,17,79,4.65,136,8.0,1255,73.82,15.89,54.0,3.18,75,30.71,20,1.18,13,0.76,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,79,4.65,136,8.0,54.0,3.18,0,0.0,0.0,1.0,203.5,11.97,11.7,7.09,11.67,4,1,3,4,5,1.12,0.42,11.74,243.0,14.29,13.7,7.85,13.98,4,1,3,4,5,1.12,0.42,15.05,282.5,16.62,15.7,8.64,16.33,5,1,3,3,5,0.89,0.42,15.03
Tank Dell,HOU,WR,2.0,11,47,4.27,75,6.82,709,64.45,15.09,34.0,3.09,68,23.73,10,0.91,7,0.64,11,1.0,51,4.64,4.64,3.0,0.27,0,0.0,58,5.27,86,7.82,37.0,3.36,0,0.0,0.0,1.0,118.0,10.73,12.2,8.34,10.04,5,0,0,3,3,1.2,0.38,11.27,141.5,12.86,14.7,9.42,12.02,5,0,0,3,3,1.2,0.38,14.75,165.0,15.0,17.2,10.54,14.03,5,0,0,3,3,1.2,0.38,14.87
A.J. Brown,PHI,WR,1.0,17,106,6.24,158,9.29,1456,85.65,13.74,70.0,4.12,59,26.53,21,1.24,7,0.41,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,106,6.24,158,9.29,70.0,4.12,2,0.12,0.02,1.0,183.6,10.8,9.7,8.06,10.19,5,3,1,5,3,0.89,0.21,10.08,236.6,13.92,12.2,9.11,13.11,5,0,4,5,3,0.89,0.21,14.31,289.6,17.04,16.4,10.23,16.05,4,1,3,5,4,1.12,0.31,15.38
Brandon Aiyuk,SF,WR,2.0,16,75,4.69,105,6.56,1342,83.88,17.89,61.0,3.81,76,30.12,28,1.75,7,0.44,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,75,4.69,105,6.56,61.0,3.81,1,0.06,0.01,1.0,174.2,10.89,10.75,6.32,10.92,5,1,3,3,4,0.78,0.33,10.57,211.7,13.23,13.05,6.92,13.35,5,1,4,2,4,0.6,0.33,14.22,249.2,15.58,15.05,7.57,15.82,4,2,4,2,4,0.6,0.33,14.1
Chris Olave,NO,WR,1.0,16,87,5.44,138,8.62,1123,70.19,12.91,57.0,3.56,51,23.69,16,1.0,5,0.31,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,87,5.44,138,8.62,57.0,3.56,0,0.0,0.0,1.0,144.3,9.02,10.0,4.07,10.1,4,1,5,5,1,0.6,0.07,9.67,187.8,11.74,13.1,4.86,12.94,4,1,4,5,2,0.78,0.14,14.08,231.3,14.46,15.6,5.78,15.71,4,2,2,6,2,1.0,0.14,14.58
Stefon Diggs,HOU,WR,1.0,17,107,6.29,160,9.41,1183,69.59,11.06,58.0,3.41,55,23.65,10,0.59,8,0.47,1,0.06,5,0.29,5.0,1.0,0.06,0,0.0,108,6.35,161,9.47,59.0,3.47,1,0.06,0.01,1.0,166.8,9.81,8.7,7.23,9.51,6,2,2,3,4,0.7,0.31,9.39,220.3,12.96,12.2,7.76,12.71,6,1,2,4,4,0.89,0.31,13.95,273.8,16.11,16.0,8.39,15.94,6,0,3,4,4,0.89,0.31,15.03
