Player,TEAM,POS,DPCHT,G,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_LG,rec_LG_mean,rec_20,rec_20_mean,rec_TD,rec_TD_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_TD,rush_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Davante Adams,NYJ,WR,1.0,14,115,8.21,149,10.64,1374,98.14,11.95,73.0,5.21,56,29.07,18,1.29,18,1.29,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,115,8.21,149,10.64,73.0,5.21,1,0.07,0.01,1.0,243.4,17.39,17.05,9.82,15.62,3,0,2,1,8,1.8,1.33,16.84,300.9,21.49,20.55,11.12,19.27,3,0,1,2,8,2.5,1.33,22.63,358.4,25.6,24.05,12.47,22.95,2,1,1,2,8,2.5,1.33,22.9
Tyreek Hill,MIA,WR,1.0,15,87,5.8,135,9.0,1276,85.07,14.67,57.0,3.8,75,31.13,20,1.33,15,1.0,13,0.87,123,8.2,9.46,5.0,0.33,2,0.13,100,6.67,148,9.87,62.0,4.13,0,0.0,0.0,1.0,241.9,16.13,15.3,9.98,14.43,2,1,3,2,7,1.5,0.88,15.11,285.4,19.03,16.8,10.99,17.11,2,1,4,1,7,1.14,0.88,18.62,328.9,21.93,18.3,12.11,19.81,2,0,4,3,6,1.5,0.67,18.29
DeAndre Hopkins,KC,WR,1.0,16,115,7.19,160,10.0,1407,87.94,12.23,75.0,4.69,60,28.81,17,1.06,6,0.38,1,0.06,1,0.06,1.0,0.0,0.0,0,0.0,116,7.25,161,10.06,75.0,4.69,2,0.12,0.02,1.0,172.8,10.8,12.0,6.08,10.94,6,1,1,5,3,1.0,0.23,11.48,230.3,14.39,16.0,7.04,14.46,7,0,0,3,6,1.29,0.6,17.41,287.8,17.99,20.0,8.18,17.92,6,1,0,2,7,1.29,0.78,18.2
Stefon Diggs,HOU,WR,1.0,16,127,7.94,166,10.38,1535,95.94,12.09,73.0,4.56,55,27.94,20,1.25,8,0.5,1,0.06,1,0.06,1.0,0.0,0.0,0,0.0,128,8.0,167,10.44,73.0,4.56,0,0.0,0.0,1.0,201.6,12.6,10.75,7.02,12.31,2,4,5,2,3,0.45,0.23,11.11,265.1,16.57,14.35,7.47,16.41,2,1,5,3,5,1.0,0.45,17.17,328.6,20.54,18.35,8.02,20.57,2,0,5,4,5,1.29,0.45,18.34
Calvin Ridley,TEN,WR,1.0,15,90,6.0,143,9.53,1374,91.6,15.27,65.0,4.33,63,29.13,23,1.53,9,0.6,5,0.33,1,0.07,0.2,1.0,0.07,0,0.0,95,6.33,148,9.87,66.0,4.4,1,0.07,0.01,1.0,191.5,12.77,12.3,7.27,12.36,3,1,3,4,4,1.14,0.36,12.4,236.5,15.77,14.8,8.22,15.24,3,1,3,4,4,1.14,0.36,16.75,281.5,18.77,17.3,9.25,18.13,3,1,4,3,4,0.88,0.36,16.51
A.J. Brown,PHI,WR,1.0,14,70,5.0,106,7.57,1075,76.79,15.36,55.0,3.93,73,31.29,13,0.93,11,0.79,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,70,5.0,106,7.57,55.0,3.93,1,0.07,0.01,1.0,177.5,12.68,13.2,6.84,12.47,4,1,1,2,6,1.33,0.75,13.05,212.5,15.18,15.95,7.51,15.01,4,1,2,2,5,1.0,0.56,16.74,247.5,17.68,18.15,8.26,17.57,4,1,2,2,5,1.0,0.56,16.68
Brandon Aiyuk,SF,WR,1.0,12,60,5.0,96,8.0,748,62.33,12.47,43.0,3.58,49,23.0,10,0.83,5,0.42,6,0.5,77,6.42,12.83,3.0,0.25,2,0.17,66,5.5,102,8.5,46.0,3.83,0,0.0,0.0,1.0,124.5,10.38,11.75,4.93,11.07,4,0,2,5,1,1.0,0.09,11.1,154.5,12.88,15.35,6.06,13.43,4,0,2,4,2,1.0,0.2,15.54,184.5,15.38,18.6,7.33,15.74,4,1,0,4,3,1.4,0.33,16.27
Keenan Allen,CHI,WR,1.0,14,100,7.14,147,10.5,992,70.86,9.92,61.0,4.36,28,19.64,10,0.71,8,0.57,1,0.07,-1,-0.07,-1.0,0.0,0.0,0,0.0,101,7.21,148,10.57,61.0,4.36,2,0.14,0.02,1.0,145.1,10.36,10.55,5.07,10.98,4,1,3,3,3,0.75,0.27,10.83,195.1,13.94,13.55,6.88,14.08,3,3,2,3,3,0.75,0.27,15.44,245.1,17.51,16.3,8.85,17.11,4,2,2,1,5,0.75,0.56,15.86
DK Metcalf,SEA,WR,2.0,16,83,5.19,129,8.06,1303,81.44,15.7,63.0,3.94,62,32.12,17,1.06,10,0.62,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,83,5.19,129,8.06,63.0,3.94,1,0.06,0.01,1.0,188.3,11.77,11.35,7.42,11.34,5,1,2,4,4,1.0,0.33,11.3,229.8,14.36,13.85,8.48,13.78,5,1,2,4,4,1.0,0.33,15.24,271.3,16.96,16.35,9.62,16.22,4,3,1,4,4,1.0,0.33,15.25
William Fuller V,FA,WR,0.0,11,53,4.82,75,6.82,879,79.91,16.58,38.0,3.45,77,30.73,14,1.27,8,0.73,1,0.09,0,0.0,0.0,0.0,0.0,0,0.0,54,4.91,76,6.91,38.0,3.45,0,0.0,0.0,1.0,135.9,12.35,11.4,7.77,11.76,2,1,4,0,4,0.57,0.57,11.26,162.4,14.76,13.8,8.39,14.2,2,2,2,1,4,0.83,0.57,15.15,188.9,17.17,15.8,9.08,16.67,2,2,2,2,3,0.83,0.38,15.01
