Player,TEAM,POS,DPCHT,G,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_LG,rec_LG_mean,rec_20,rec_20_mean,rec_TD,rec_TD_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_TD,rush_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Jarvis Landry,FA,WR,0.0,16,110,6.88,166,10.38,1157,72.31,10.52,60.0,3.75,50,24.69,6,0.38,4,0.25,18,1.12,113,7.06,6.28,7.0,0.44,1,0.06,128,8.0,184,11.5,67.0,4.19,0,0.0,0.0,1.0,159.4,9.96,8.85,5.52,10.34,5,3,3,3,2,0.45,0.14,9.56,214.4,13.4,13.35,6.3,13.85,3,4,1,6,2,1.0,0.14,15.31,269.4,16.84,16.1,7.3,17.26,3,2,4,5,2,0.78,0.14,15.52
Alshon Jeffery,FA,WR,0.0,9,54,6.0,94,10.44,807,89.67,14.94,43.0,4.78,50,29.78,9,1.0,4,0.44,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,54,6.0,94,10.44,43.0,4.78,0,0.0,0.0,0.93,104.7,11.63,9.0,6.08,11.78,1,4,0,1,3,0.8,0.5,10.0,131.7,14.63,12.5,7.32,14.56,2,2,1,0,4,0.8,0.8,14.96,158.7,17.63,16.0,8.66,17.32,2,2,1,0,4,0.8,0.8,14.89
Keenan Allen,CHI,WR,1.0,8,67,8.38,89,11.12,725,90.62,10.82,34.0,4.25,38,23.5,5,0.62,4,0.5,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,67,8.38,89,11.12,34.0,4.25,1,0.12,0.01,0.88,94.5,11.81,11.35,7.77,11.25,2,1,1,2,2,1.0,0.33,10.23,128.0,16.0,14.3,9.7,14.84,2,0,2,1,3,1.0,0.6,14.9,161.5,20.19,17.55,11.82,18.35,1,1,1,2,3,1.67,0.6,15.53
Larry Fitzgerald,FA,WR,0.0,16,109,6.81,145,9.06,1215,75.94,11.15,65.0,4.06,44,21.62,16,1.0,9,0.56,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,109,6.81,145,9.06,65.0,4.06,2,0.12,0.02,1.0,171.5,10.72,8.95,7.13,10.43,5,3,2,4,2,0.6,0.14,9.53,226.0,14.12,12.35,7.71,13.88,3,2,5,4,2,0.6,0.14,14.3,280.5,17.53,16.7,8.4,17.35,3,2,3,5,3,1.0,0.23,15.83
A.J. Green,FA,WR,0.0,16,86,5.38,132,8.25,1297,81.06,15.08,63.0,3.94,80,33.38,9,0.56,10,0.62,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,86,5.38,132,8.25,63.0,3.94,1,0.06,0.01,1.0,187.7,11.73,8.8,8.21,11.02,5,3,2,1,5,0.6,0.45,9.97,230.7,14.42,11.55,9.1,13.59,5,2,3,1,5,0.6,0.45,14.07,273.7,17.11,13.65,10.07,16.18,4,5,2,0,5,0.45,0.45,13.84
Jeremy Maclin,FA,WR,0.0,15,87,5.8,124,8.27,1088,72.53,12.51,49.0,3.27,61,25.53,5,0.33,8,0.53,3,0.2,14,0.93,4.67,1.0,0.07,0,0.0,90,6.0,127,8.47,50.0,3.33,1,0.07,0.01,1.0,156.2,10.41,9.5,6.39,10.41,6,1,3,2,3,0.5,0.25,9.72,199.7,13.31,12.5,7.43,13.2,5,2,2,2,4,0.67,0.36,13.98,243.2,16.21,15.9,8.55,15.98,5,2,3,1,4,0.5,0.36,14.63
Calvin Johnson,FA,WR,0.0,16,88,5.5,149,9.31,1214,75.88,13.8,65.0,4.06,57,27.62,9,0.56,9,0.56,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,88,5.5,149,9.31,65.0,4.06,1,0.06,0.01,1.0,173.4,10.84,8.65,7.45,10.43,5,4,1,3,3,0.6,0.23,9.54,217.4,13.59,11.5,8.39,13.07,5,3,2,2,4,0.6,0.33,13.88,261.4,16.34,13.95,9.43,15.71,4,4,2,2,4,0.6,0.33,13.89
Martavis Bryant,WAS,WR,1.0,11,50,4.55,92,8.36,765,69.55,15.3,25.0,2.27,88,32.18,4,0.36,6,0.55,5,0.45,37,3.36,7.4,2.0,0.18,1,0.09,55,5.0,97,8.82,27.0,2.45,1,0.09,0.02,1.0,120.2,10.93,9.1,8.43,10.2,4,1,1,2,3,0.83,0.38,9.93,145.2,13.2,13.3,9.04,12.46,4,1,2,1,3,0.57,0.38,13.53,170.2,15.47,14.8,9.79,14.74,3,2,1,3,2,0.83,0.22,13.86
Brandin Cooks,DAL,WR,1.0,16,84,5.25,129,8.06,1138,71.12,13.55,45.0,2.81,71,32.06,11,0.69,9,0.56,8,0.5,18,1.12,2.25,2.0,0.12,0,0.0,92,5.75,137,8.56,47.0,2.94,0,0.0,0.0,1.0,169.6,10.6,8.0,7.37,10.23,7,2,0,1,6,0.78,0.6,9.66,211.6,13.22,11.25,7.77,12.97,7,1,1,1,6,0.78,0.6,13.52,253.6,15.85,14.5,8.22,15.77,7,0,2,2,5,0.78,0.45,14.34
Allen Hurns,FA,WR,0.0,15,64,4.27,105,7.0,1031,68.73,16.11,48.0,3.2,80,30.73,14,0.93,10,0.67,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,64,4.27,105,7.0,48.0,3.2,1,0.07,0.02,1.0,161.1,10.74,11.3,6.76,10.59,6,1,1,2,5,0.88,0.5,10.95,193.1,12.87,12.3,7.51,12.73,6,1,2,2,4,0.67,0.36,13.5,225.1,15.01,13.3,8.38,14.86,7,1,1,2,4,0.67,0.36,13.15
Mike Evans,TB,WR,1.0,15,74,4.93,148,9.87,1206,80.4,16.3,63.0,4.2,68,24.6,17,1.13,3,0.2,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,74,4.93,148,9.87,63.0,4.2,1,0.07,0.01,1.0,136.6,9.11,9.9,5.81,9.32,7,0,2,5,1,0.67,0.07,9.51,173.6,11.57,11.9,6.93,11.68,7,0,2,4,2,0.67,0.15,13.46,210.6,14.04,13.9,8.09,14.03,6,1,2,4,2,0.67,0.15,13.1
Emmanuel Sanders,FA,WR,0.0,15,76,5.07,137,9.13,1135,75.67,14.93,51.0,3.4,75,34.0,3,0.2,6,0.4,3,0.2,29,1.93,9.67,1.0,0.07,0,0.0,79,5.27,140,9.33,52.0,3.47,2,0.13,0.03,1.0,148.4,9.89,8.7,7.67,9.45,6,2,2,2,3,0.5,0.25,9.1,186.4,12.43,11.7,8.79,11.81,5,2,1,5,2,0.88,0.15,13.19,224.4,14.96,14.7,9.99,14.18,5,1,2,5,2,0.88,0.15,13.6
John Brown,FA,WR,0.0,15,65,4.33,101,6.73,1003,66.87,15.43,49.0,3.27,68,29.53,4,0.27,7,0.47,3,0.2,22,1.47,7.33,1.0,0.07,0,0.0,68,4.53,104,6.93,50.0,3.33,1,0.07,0.01,1.0,142.5,9.5,9.9,4.37,10.45,4,2,5,3,1,0.36,0.07,9.38,175.0,11.67,12.4,5.15,12.68,4,2,4,4,1,0.5,0.07,13.08,207.5,13.83,14.6,6.03,14.88,4,2,5,3,1,0.36,0.07,13.03
